"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"NA.31",NA,NA,NA,NA,NA,NA,NA
"ACTL9",0.577595779672711,-1.59851109005223,0.527131579389446,-3.03247073890682,0.0024256061275522,0.00496768824546811,"DOWN"
"MRGPRG",0.385249354922308,-1.36064391917634,0.569238670468866,-2.39028722004359,0.0168352011848204,0.029318701420062,"DOWN"
"GLTPD2",111.723986518193,-1.51184463280248,0.157185586680711,-9.61821414245488,6.69839833636428e-22,1.70664682319054e-20,"DOWN"
"NA.32",NA,NA,NA,NA,NA,NA,NA
"OTOP3",0.829385097647298,-1.37209866274027,0.393808858152397,-3.48417419856335,0.000493658074482777,0.00114805984127715,"DOWN"
"NEB",308.147855294554,-1.02925699268738,0.144211325000271,-7.1371439981253,9.52900075396088e-13,8.97678848213879e-12,"DOWN"
"CALN1",4.19479529538068,-1.18145123905982,0.242645249032664,-4.86904748298114,1.12137462473299e-06,4.12390807748504e-06,"DOWN"
"NA.33",NA,NA,NA,NA,NA,NA,NA
"FAM9A",0.289512776227159,-1.18605170664364,0.506751350653146,-2.34050033633842,0.0192579210672314,0.0330768540290277,"DOWN"
"NA.34",NA,NA,NA,NA,NA,NA,NA
"NA.35",NA,NA,NA,NA,NA,NA,NA
"GKN2",569.06083478178,-1.94479659654697,0.243453716564231,-7.98836273273267,1.36742608779113e-15,1.84446379772574e-14,"DOWN"
"NA.36",NA,NA,NA,NA,NA,NA,NA
"NA.37",NA,NA,NA,NA,NA,NA,NA
"SRARP",4.24023864214855,-1.19858157522095,0.279668695103349,-4.28571948239695,1.82148713126371e-05,5.45354925890336e-05,"DOWN"
"NPW",191.902063331293,-1.45331234790584,0.210545641106501,-6.90260002661706,5.10592446236709e-12,4.33636486692797e-11,"DOWN"
"NA.38",NA,NA,NA,NA,NA,NA,NA
"GAST",1.44527721658848,-1.07779871436579,0.379168546621699,-2.84253196624225,0.00447567425772528,0.00872092041960646,"DOWN"
"RALYL",1.09709286911392,-1.30333667527352,0.411316706024698,-3.16869374908214,0.00153125650368027,0.00324833701711277,"DOWN"
"LRRC26",16.755532164853,-1.45453071130067,0.211641592558062,-6.87261276821868,6.30365125024721e-12,5.26637233255758e-11,"DOWN"
"NA.39",NA,NA,NA,NA,NA,NA,NA
"DDX53",5.94309794885733,-1.46854795481819,0.397321412258495,-3.69612084702539,0.000218918797933453,0.000543144894414578,"DOWN"
"SATL1",2.56783525242019,-1.28163269302483,0.213419985694805,-6.0052140330362,1.91079668682126e-09,1.08644510568358e-08,"DOWN"
"LCN12",117.701154549135,-1.21748407626003,0.129125891245433,-9.42865961672958,4.15362723923823e-21,1.0044460114143e-19,"DOWN"
"AQP12A",0.63448851169906,-1.35625248489256,0.445969718587586,-3.04113133328402,0.00235691000818676,0.00483665329222658,"DOWN"
"RFX6",12.7406876001229,-1.73971077819447,0.347207978874071,-5.01057257910955,5.42683260407528e-07,2.10370712581606e-06,"DOWN"
"NOTUM",384.238535188342,-1.32193036808598,0.183245673926382,-7.21397858820425,5.43403042620123e-13,5.29573435185441e-12,"DOWN"
"C12orf56",109.472302130677,-1.37942370031007,0.227166819400488,-6.07229393777879,1.26095850829397e-09,7.39923085458759e-09,"DOWN"
"PDIA2",125.101265678718,-1.42971089189436,0.209091686031317,-6.8377223362206,8.04621544985002e-12,6.65092389028951e-11,"DOWN"
"PRAME",1282.18030300246,-1.2469388143577,0.247920503398612,-5.02959132973704,4.91526335340848e-07,1.91683469430341e-06,"DOWN"
"NAT8L",204.036116974377,-1.22462891020398,0.170679951650593,-7.17500150639237,7.2306389871786e-13,6.94001696403424e-12,"DOWN"
"TMEM210",1.91257933443957,-1.7459376733121,0.266374967378566,-6.55443599109225,5.58525652601365e-11,4.07723726398996e-10,"DOWN"
"NA.40",NA,NA,NA,NA,NA,NA,NA
"KRTAP5-5",0.722016837325924,-1.61066068132604,0.457437357624539,-3.52105190903112,0.00042983846294071,0.00100915218997559,"DOWN"
"GRK1",35.2953519116996,-1.51356345882859,0.213836457355964,-7.07813568155512,1.46106641495162e-12,1.34265183846403e-11,"DOWN"
"CYP4F2",2.22406774741615,-1.42110148572511,0.318066801066932,-4.46793403447994,7.8978650698495e-06,2.51984429655323e-05,"DOWN"
"KLK12",632.794084042064,-2.27809518851592,0.31369834727387,-7.26205671248584,3.81248276235839e-13,3.79709256623032e-12,"DOWN"
"CYP4F3",573.104065098519,-1.90575212613084,0.240628632687008,-7.91988927024199,2.37722187802931e-15,3.11387309305573e-14,"DOWN"
"NA.41",NA,NA,NA,NA,NA,NA,NA
"NA.42",NA,NA,NA,NA,NA,NA,NA
"NA.43",NA,NA,NA,NA,NA,NA,NA
"NA.44",NA,NA,NA,NA,NA,NA,NA
"HPDL",107.358557202587,-1.11059455242937,0.141587516662799,-7.8438733767351,4.36857617496052e-15,5.57981115505606e-14,"DOWN"
"SELENOV",1.41663790930176,-1.41261250215665,0.385215701709002,-3.66706885490291,0.000245346746238132,0.00060409972598881,"DOWN"
"CCK",14.9454159788428,-1.08477563846235,0.258259792655127,-4.20032722596866,2.66529491235114e-05,7.74668403469072e-05,"DOWN"
"AKR1C1",15611.7764955747,-1.72883204651248,0.231811162220744,-7.45793269810789,8.78905409883318e-14,9.55423610933394e-13,"DOWN"
"VSTM2B",0.391931857226968,-1.32300947408409,0.570790232961325,-2.31785583859795,0.0204571572052192,0.034893712355555,"DOWN"
"CIDEC",19.5194512871738,-1.29545312764344,0.239204560520291,-5.4156706913351,6.10593900441735e-08,2.77349935061987e-07,"DOWN"
"LIN28B",29.8285463681612,-1.9086684225291,0.477834217317164,-3.99441553860555,6.48540348583798e-05,0.000176750440040236,"DOWN"
"EYS",63.9384900156007,-1.27484222073365,0.121927680447644,-10.4557243773786,1.37940640554946e-25,4.62754049063073e-24,"DOWN"
"FAM166A",9.73926988589281,-1.3866076946267,0.179596078168943,-7.7207014137711,1.15691279170021e-14,1.40845641617919e-13,"DOWN"
"HEPACAM2",72.200336357913,-2.09953374609867,0.232002658674921,-9.04961071605865,1.43478927369591e-19,2.99096018541251e-18,"DOWN"
"NA.45",NA,NA,NA,NA,NA,NA,NA
