"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"A4GNT",7.16455079474889,1.24639450567582,0.173323014671781,7.1911656281544,6.42404943611223e-13,7.74523746685964e-12,"UP"
"ADGB",40.0135288161566,1.00404603596683,0.218486112158848,4.59546845355939,4.31778117138722e-06,1.68895862032344e-05,"UP"
"RARRES1",1849.88163249702,1.44324545092018,0.128458848638538,11.2350800759645,2.74245092049258e-29,8.67948656188328e-28,"UP"
"CD274",801.204993280671,1.21424553830007,0.114437257913968,10.6105787610965,2.66095642508444e-26,7.53106942301843e-25,"UP"
"CXorf21",198.516185317281,1.10833944237224,0.0737696863891484,15.024320918562,5.08800868266257e-51,3.06523892856482e-49,"UP"
"GPR31",6.22941213608357,1.68814971096611,0.128278220706636,13.1600649094346,1.48957847881519e-39,6.50553435409823e-38,"UP"
"ADRA1A",14.1300144636219,1.54118547751925,0.187433566686107,8.22256922688908,1.99189256457987e-16,3.46841069609372e-15,"UP"
"TNFRSF8",85.4319657855409,1.09981249878097,0.0820781139278135,13.3995829844268,6.080383556963e-41,2.79220750792301e-39,"UP"
"PRB2",0.702890863791717,1.8374550738735,0.405552074306201,4.53075003257455,5.87746482137633e-06,2.23867007304954e-05,"UP"
"CD80",101.97794575685,1.32022321929177,0.0783385217775098,16.8527971850343,1.0006761546166e-63,9.23579725758458e-62,"UP"
"CCR2",385.978826789197,1.47537326928803,0.0830261332031711,17.7699865375843,1.20719725040233e-70,1.28511634565557e-68,"UP"
"CXCR4",4324.55892477068,1.0621581137832,0.0702665145146633,15.1161349203047,1.26768028053135e-51,7.85589922744648e-50,"UP"
"FLT3",60.7429594315441,1.14814555638121,0.0890176020679854,12.8979609617471,4.6216467118875e-38,1.91998165840187e-36,"UP"
"SASH3",1142.90019492701,1.51379582473344,0.05958117534712,25.4072836917712,2.09526597533974e-142,3.92569033139654e-138,"UP"
"LAX1",322.126431193229,1.28006429028011,0.107662593785179,11.8895917818425,1.3406020515229e-32,4.69486355838001e-31,"UP"
"CD244",100.13150735127,1.42677030909754,0.0807860254871725,17.6611029010716,8.35902641926578e-70,8.74942564197563e-68,"UP"
"LY9",277.215114679535,1.20177202873188,0.0852099142249803,14.1036643407342,3.60551142065903e-45,1.85584785652384e-43,"UP"
"ARHGAP9",662.248474699811,1.38771644270323,0.0631915054944003,21.960490288148,6.87532483334626e-107,3.59291093513731e-104,"UP"
"NCKAP1L",2347.61757531309,1.46239965216373,0.0632743455308553,23.1120470689121,3.50318435381039e-118,4.10222887831196e-115,"UP"
"DBH",31.5929356379346,1.05539439113888,0.109246877590053,9.66063666459398,4.43101536181408e-22,1.08243105593158e-20,"UP"
"IL13RA2",88.4380780561253,1.30068911036036,0.172346712344961,7.54693311327553,4.45627298782731e-14,6.20763797025521e-13,"UP"
"GTSF1L",2.9451209065978,1.1292053756129,0.146603540262237,7.70244274860644,1.33489431872954e-14,1.95854189159879e-13,"UP"
"ZNF831",149.217916572887,1.65935843382929,0.0910619929074196,18.2222942947923,3.43448094994798e-74,4.15151194053066e-72,"UP"
"NA.6",NA,NA,NA,NA,NA,NA,NA
"ZBP1",294.423784494544,1.04580534043763,0.0977749041887363,10.696050782304,1.06208899299702e-26,3.05203978110311e-25,"UP"
"IL9R",18.8049566719869,1.47584135485627,0.0897725513126972,16.4397840239116,9.9272078657843e-61,8.30340029345244e-59,"UP"
"CEACAM8",20.4938995616579,1.12026947902648,0.221103599143864,5.06671751778025,4.0473420886258e-07,1.95743421199001e-06,"UP"
"F13A1",2885.5815071534,1.36159399507037,0.120615944970449,11.2886732795068,1.49272810422073e-29,4.76452363895733e-28,"UP"
"BTN1A1",9.24426476345195,1.21521139532507,0.127521182054846,9.52948659778277,1.58062975026283e-21,3.75820799504117e-20,"UP"
"CXCL6",262.209864089902,1.04517052150297,0.197043917569308,5.30425163281351,1.13136162429937e-07,6.06500469037855e-07,"UP"
"EREG",1643.77242926852,1.33379240920177,0.237577146884504,5.61414440190318,1.97537204236762e-08,1.21346456024487e-07,"UP"
"GPR18",54.6510602678552,1.60637410932126,0.0862305127374935,18.6288363402344,1.87557878060566e-77,2.64216872431787e-75,"UP"
"IL1B",404.312625484491,1.18074533248791,0.106300503470315,11.107617498892,1.15191962449327e-28,3.56144654859832e-27,"UP"
"NA.7",NA,NA,NA,NA,NA,NA,NA
"CD70",61.107779877869,1.37671595221802,0.121188181222799,11.3601502912812,6.60309439748114e-30,2.13302718329667e-28,"UP"
"SIRPD",3.2312899970025,1.31615061286492,0.120705429607647,10.9038227786693,1.10514456340208e-27,3.30766590094272e-26,"UP"
"NA.8",NA,NA,NA,NA,NA,NA,NA
"HCST",48.8898590281888,1.36560766341157,0.0807826769087971,16.9047092231585,4.15368617068695e-64,3.89117320469954e-62,"UP"
"CCR7",402.97970020524,1.54710925335075,0.0915718173728451,16.895037116622,4.89405854035299e-64,4.56194431900764e-62,"UP"
"CFP",21.2099403078053,1.02596454804105,0.0896426335508728,11.4450513935292,2.48956892222401e-30,8.15464393824985e-29,"UP"
"EVI2A",403.921619064124,1.3792507901863,0.0771797642358774,17.8706271500263,1.99736204228091e-71,2.21435356356065e-69,"UP"
"OMG",174.618615096733,1.02054945223173,0.155432143949539,6.56588416204982,5.17250157839459e-11,4.87484857006042e-10,"UP"
"FAM78A",572.080728594038,1.21513891342608,0.0575169907129461,21.1266079529535,4.52940101463708e-99,1.57153439648593e-96,"UP"
"IL22",0.796072143743053,1.00943339365689,0.242041956141556,4.17048932238233,3.03946297137393e-05,0.000100898969226899,"UP"
