"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"A1CF",13.8689216707668,-1.02656811898888,0.252541445618261,-4.0649490877653,4.80429481650317e-05,0.00015316438143104,"DOWN"
"NA.18",NA,NA,NA,NA,NA,NA,NA
"VAX1",7.43920103226463,-2.38425251230269,0.427367648584847,-5.5789260609635,2.42008076604918e-08,1.46597585621395e-07,"DOWN"
"NKX6-2",1.09705774257107,-1.05051241910904,0.410474103792543,-2.55926600339196,0.0104893445230067,0.0197099948834674,"DOWN"
"GAS2",162.692606796908,-1.31162092080164,0.14133363297007,-9.28031702885184,1.68975032947027e-20,3.83747420278243e-19,"DOWN"
"SLC5A12",58.3183718533562,-1.35758182699867,0.218131169446728,-6.22369480914658,4.85581216458182e-10,3.91642258784352e-09,"DOWN"
"NCAM1",212.410350010713,-1.07281445125179,0.158357210326854,-6.77464858744021,1.24709007262494e-11,1.27680216397272e-10,"DOWN"
"HTR3B",9.31055386254268,-1.39926632749606,0.284912000969251,-4.91122284331952,9.05101533732932e-07,4.05140507458264e-06,"DOWN"
"FXYD4",169.483607176605,-2.21104471393012,0.241461935664395,-9.15690793187057,5.34056034672045e-20,1.18275104794509e-18,"DOWN"
"NA.19",NA,NA,NA,NA,NA,NA,NA
"C11orf53",45.3075979249393,-1.63154819935606,0.281741454269469,-5.79094121447809,6.99930735911598e-09,4.65362039320075e-08,"DOWN"
"LYZL2",1.16148418924642,-1.79055241559133,0.471892257080076,-3.79440939902409,0.000147995309004604,0.000424956338622262,"DOWN"
"NPAS3",241.831089273955,-2.08957469990921,0.198395354144569,-10.5323771764663,6.12673857328592e-26,1.7158531227068e-24,"DOWN"
"AKR1C2",17930.1270435303,-1.43053684080063,0.258352918010676,-5.53714218448084,3.07446953596736e-08,1.83333103837952e-07,"DOWN"
"GABRA2",16.8692357961075,-1.21682944715459,0.240190852141385,-5.06609405106867,4.06061348415087e-07,1.96233309876324e-06,"DOWN"
"MCHR2",2.73286180971568,-1.16125925925757,0.332975109352614,-3.48752572381564,0.000487512023795634,0.00124238646325286,"DOWN"
"KCNE4",1198.10031447805,-1.10078038274989,0.15437482053963,-7.13056947306578,9.99545087353165e-13,1.17340079928878e-11,"DOWN"
"POU4F1",42.6546702128924,-1.16640600151475,0.229859602396,-5.0744279958567,3.88663366957097e-07,1.88408715221427e-06,"DOWN"
"CNTNAP4",3.54347545699189,-1.17151408772632,0.337434308278613,-3.4718286166652,0.000516926231077113,0.00131004056072782,"DOWN"
"SYCP2L",53.3997951615873,-1.04756047412013,0.159680809979732,-6.56034043322486,5.36850740361976e-11,5.04941539730019e-10,"DOWN"
"BMP6",804.187322872546,-1.45801774427901,0.164600042481396,-8.85794269733435,8.15045912222827e-19,1.70241919859608e-17,"DOWN"
"SCN3A",104.24885008001,-1.26505048518105,0.190819479861019,-6.62956678271231,3.36673490710702e-11,3.251502330905e-10,"DOWN"
"FRMD1",8.75239753708306,-1.09327224569251,0.215925062403506,-5.06320217543566,4.12272229944089e-07,1.98722215081874e-06,"DOWN"
"PLEKHG4B",907.640253586963,-1.00019540168014,0.163745164716582,-6.10824388867502,1.00733342620511e-09,7.63795996494491e-09,"DOWN"
"CABYR",465.980439180872,-1.33863989886785,0.161692020589346,-8.27894842298764,1.24267741662839e-16,2.21952374432312e-15,"DOWN"
"UCHL1",3681.85439736078,-1.33499371797655,0.18452741313667,-7.23466337756432,4.66685226302414e-13,5.70745065274284e-12,"DOWN"
"C10orf90",7.30355623772191,-1.13901842398374,0.248281508319502,-4.58760876592543,4.48351852981156e-06,1.74679149874297e-05,"DOWN"
"SEPTIN14",3.62838129533735,-1.04342427536901,0.3663745351533,-2.84797161170718,0.00439988491466711,0.00900352159908289,"DOWN"
"CNTNAP5",3.07025315061284,-1.30725951706132,0.390186725836045,-3.35034338818237,0.00080711435791073,0.00195123801416973,"DOWN"
"MAGEC1",32.280313936501,-1.19481883133649,0.354210336629135,-3.37319018611104,0.000743026112731542,0.00181102344843738,"DOWN"
"MAGEA8",14.6049075430824,-1.85531183709044,0.258571632998696,-7.17523347620965,7.2183891646582e-13,8.65283041516545e-12,"DOWN"
"UGT2B4",58.2204498768995,-1.34466583189921,0.226232187224247,-5.94374234894501,2.78587369397517e-09,1.97040881579158e-08,"DOWN"
"ALX3",6.23366801487069,-1.47921087781753,0.32367495730779,-4.57005042997787,4.87606865488551e-06,1.88561449572621e-05,"DOWN"
"NAA11",8.27381524047903,-1.92915629751349,0.428961644398417,-4.4972699137681,6.88315842262421e-06,2.5844259760779e-05,"DOWN"
"CLDN8",210.402254289681,-1.21076433128121,0.220414197715738,-5.49313222028784,3.94866932700263e-08,2.30402580226475e-07,"DOWN"
"LRFN2",13.8019922217949,-1.47634114132877,0.23496425036821,-6.28325857663543,3.31548917809531e-10,2.7474128810612e-09,"DOWN"
"UNC5D",23.6450745440999,-1.98666512620378,0.268452165538232,-7.40044365900581,1.35730249085913e-13,1.78709904910307e-12,"DOWN"
"ZIC3",4.65797524399015,-1.76392617817319,0.453342790381077,-3.89093245905696,9.98597288549622e-05,0.000298400618792117,"DOWN"
"SST",92.4048718413723,-2.37531887077747,0.43940503083035,-5.40576166433232,6.45335623520191e-08,3.61681371291484e-07,"DOWN"
"TMED6",87.9132114067281,-1.15785812577847,0.142396235629699,-8.13124111503537,4.249171945389e-16,7.16584028522127e-15,"DOWN"
"KCNJ6",43.5042145007114,-1.16605518850925,0.189720867653621,-6.14616200595365,7.93802089702363e-10,6.13053419318362e-09,"DOWN"
"IGF2BP1",473.334407330213,-1.45472930433695,0.272441056429335,-5.33961115627326,9.31461455303877e-08,5.08207973982919e-07,"DOWN"
"CBR1",7628.01917585216,-1.7274941051926,0.138224165276677,-12.4977720193481,7.6772850523651e-36,2.96580644827036e-34,"DOWN"
"GJD2",0.477145174331777,-1.86040916481832,0.664796975231599,-2.79846213826439,0.00513465888329933,0.0103611167299404,"DOWN"
"SIM2",95.6704155859192,-1.01463583467343,0.225702158766006,-4.49546358005969,6.94185398186082e-06,2.60333419143603e-05,"DOWN"
"CELF3",117.629684645547,-1.60830109157553,0.220290968366234,-7.3008035849283,2.86054077623656e-13,3.60666837036125e-12,"DOWN"
"TFF3",6611.11163181761,-1.40629077758204,0.209391582019266,-6.71608077087189,1.86677343892046e-11,1.86537958141939e-10,"DOWN"
"TFF1",820.638226026917,-1.39282452889364,0.291334074247422,-4.7808500687453,1.74555512678613e-06,7.36592812060023e-06,"DOWN"
"FTCD",34.5482082576467,-1.27705447770921,0.180169851928719,-7.08805865153541,1.36006333404681e-12,1.57200164260956e-11,"DOWN"
"IZUMO2",21.5129031309428,-1.06529599460846,0.268782092248121,-3.96341878916939,7.38840047633441e-05,0.000226784192864681,"DOWN"
"SSTR5",5.55928377485267,-1.04346778522521,0.312663420565753,-3.33735165865293,0.000845808582827845,0.00203689840718027,"DOWN"
"AKR7A3",526.167349014312,-1.46458233339921,0.193390338140294,-7.57319288793391,3.64160974834804e-14,5.11846963578761e-13,"DOWN"
"LMX1A",5.74058437175823,-1.61105641874524,0.36972418412589,-4.35745479445479,1.31583664601528e-05,4.67986245249475e-05,"DOWN"
