	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-49-6744-01A	1328.81297113053	2414.40499182791	3743.21796295844
TCGA-55-8512-01A	-283.068440179008	884.104325235751	601.035885056742
TCGA-49-6742-01A	-666.835215685015	342.00474888181	-324.830466803205
TCGA-50-5935-01A	317.634294810932	1539.80971955551	1857.44401436644
TCGA-38-4629-01A	1168.81044471326	2280.24053007693	3449.05097479019
TCGA-55-8089-01A	765.95527646185	2880.05862242533	3646.01389888718
TCGA-MP-A4SW-01A	230.346481579882	1839.48097303028	2069.82745461016
TCGA-78-7162-01A	537.955481856651	1661.17472267904	2199.13020453569
TCGA-55-A48Z-01A	789.370101139884	1426.27044620017	2215.64054734005
TCGA-50-5931-01A	-352.136849029892	-157.15594126538	-509.292790295271
TCGA-55-7911-01A	63.5387312924209	2168.63894635976	2232.17767765218
TCGA-73-4676-01A	112.969217444244	1071.58385929277	1184.55307673701
TCGA-55-1596-01A	-411.149301976904	780.592796243785	369.443494266882
TCGA-44-8119-01A	1099.17406019012	1352.55573062121	2451.72979081133
TCGA-69-7764-01A	-117.295463404016	910.183345856078	792.887882452062
TCGA-97-7546-01A	928.979114722631	1811.01902029814	2739.99813502077
TCGA-38-A44F-01A	760.525898552288	2411.71020852337	3172.23610707566
TCGA-L4-A4E6-01A	1185.08687020642	2714.78279943893	3899.86966964535
TCGA-73-A9RS-01A	-812.682148889023	496.491616839848	-316.190532049175
TCGA-44-5643-01A	-890.385580829208	1109.22464456727	218.839063738066
TCGA-55-A4DF-01A	-214.098919363947	1817.45229039994	1603.35337103599
TCGA-50-5930-01A	731.989822106938	1743.32504607417	2475.31486818111
TCGA-97-7553-01A	1061.94990084184	2808.3525380639	3870.30243890574
TCGA-55-6980-01A	983.030874149244	2078.62809999943	3061.65897414868
TCGA-MP-A4TD-01A	950.110886732514	1412.70937752379	2362.8202642563
TCGA-95-7567-01A	343.610439119625	1319.37732388673	1662.98776300635
TCGA-95-A4VN-01A	439.679711682678	2261.50385662599	2701.18356830867
TCGA-44-3396-01A	1361.74256118648	2338.2198102224	3699.96237140888
TCGA-05-5428-01A	470.402295121565	1323.50545073838	1793.90774585995
TCGA-05-4430-01A	1330.40142973579	1854.7017939376	3185.10322367339
TCGA-44-2656-01A	1000.36018804311	2618.44549044325	3618.80567848636
TCGA-S2-AA1A-01A	951.151247408802	2457.44066939861	3408.59191680742
TCGA-55-6642-01A	1488.48387916686	1614.67822201876	3103.16210118562
TCGA-69-7974-01A	705.900309579502	2083.4127755606	2789.3130851401
TCGA-55-A4DG-01A	-245.751175929212	1440.24757571878	1194.49639978957
TCGA-50-5939-01A	727.624546195922	1829.7044188031	2557.32896499902
TCGA-55-A48Y-01A	774.285456090673	1072.91844271134	1847.20389880201
TCGA-MN-A4N5-01A	-355.961338877462	1519.69094701031	1163.72960813285
TCGA-64-1680-01A	-510.164618614395	796.467644441184	286.303025826789
TCGA-95-7562-01A	199.50117696911	1276.94274179036	1476.44391875947
TCGA-69-7763-01A	896.962274472057	1157.64404921223	2054.60632368428
TCGA-55-8511-01A	815.224831465405	1922.25720112598	2737.48203259139
TCGA-50-5944-01A	929.822037514385	1061.58877417522	1991.4108116896
TCGA-44-5644-01A	-963.216201061113	-56.281268305705	-1019.49746936682
TCGA-50-5072-01A	174.69714685794	727.547804008153	902.244950866093
TCGA-75-5146-01A	193.699575213604	1616.91397049291	1810.61354570651
TCGA-38-4626-01A	1263.53053403537	2301.1745506472	3564.70508468258
TCGA-83-5908-01A	490.012724808777	2382.58019301923	2872.592917828
TCGA-75-6212-01A	385.618428470921	2009.30265017626	2394.92107864718
TCGA-44-6774-01A	2015.81811161816	1549.7379789818	3565.55609059995
TCGA-55-7724-01A	914.154375808156	2020.64901713439	2934.80339294255
TCGA-NJ-A4YI-01A	301.354331496331	1358.05344505816	1659.40777655449
TCGA-55-8299-01A	1480.49878341162	2544.44778232506	4024.94656573667
TCGA-J2-8192-01A	1684.5300075457	2060.20166085793	3744.73166840363
TCGA-55-8506-01A	205.749670956941	1322.90591866858	1528.65558962552
TCGA-86-8585-01A	154.052815844834	2181.84941177252	2335.90222761735
TCGA-44-7672-01A	1259.72126821334	2519.47310177794	3779.19436999128
TCGA-64-5781-01A	413.473909737804	1825.20743733216	2238.68134706996
TCGA-NJ-A4YP-01A	961.960991420934	1263.66082967627	2225.62182109721
TCGA-73-4677-01A	-78.3403521551714	1201.26242627525	1122.92207412008
TCGA-62-8402-01A	-495.185038761772	1896.09967072167	1400.91463195989
TCGA-35-4122-01A	1020.05324714802	2523.49713418353	3543.55038133155
TCGA-69-8253-01A	-352.307064574192	964.541532304066	612.234467729874
TCGA-50-5066-01A	1184.73981603232	2492.44691376863	3677.18672980095
TCGA-49-4501-01A	693.478059841134	1755.61241447859	2449.09047431972
TCGA-86-7954-01A	621.60849496118	2231.25804977425	2852.86654473543
TCGA-44-2655-01A	19.1786443065642	1471.46635363674	1490.6449979433
TCGA-50-6592-01A	552.731432445912	1952.56604641575	2505.29747886166
TCGA-91-6836-01A	-702.453665194771	604.425206989121	-98.02845820565
TCGA-44-6146-01A	-803.195002985971	93.4699679831109	-709.72503500286
TCGA-05-4244-01A	-151.668535637797	1470.81828178024	1319.14974614244
TCGA-75-6211-01A	89.8822475296227	580.829776216632	670.712023746255
TCGA-55-8096-01A	1117.84563127256	1718.98883494133	2836.8344662139
TCGA-97-A4M2-01A	596.605582646539	2557.30865991276	3153.9142425593
TCGA-71-8520-01A	650.797484346934	891.037320104366	1541.8348044513
TCGA-67-3773-01A	764.564473012589	2068.58935849307	2833.15383150566
TCGA-55-A492-01A	-381.147168461404	758.770910986493	377.623742525089
TCGA-91-6848-01A	1182.66435634526	2089.80972468493	3272.47408103019
TCGA-62-8398-01A	31.2551704055999	1325.40487260698	1356.66004301258
TCGA-49-AAR0-01A	166.554340320047	1827.41912714775	1993.97346746779
TCGA-93-A4JP-01A	634.436659936168	1679.59500486749	2314.03166480366
TCGA-78-7633-01A	-309.080404182659	181.296875857469	-127.78352832519
TCGA-93-A4JO-01A	602.974162989161	2416.86396140898	3019.83812439814
TCGA-55-7576-01A	485.078421012513	1413.38700401792	1898.46542503043
TCGA-97-7552-01A	630.951094046854	2764.48787936616	3395.43897341301
TCGA-91-6829-01A	1283.18056298693	855.616404796086	2138.79696778302
TCGA-73-4670-01A	271.259974729006	751.959587088	1023.21956181701
TCGA-64-5779-01A	513.543517299832	1325.34667171059	1838.89018901042
TCGA-75-5125-01A	524.075859349335	2042.13443807951	2566.21029742884
TCGA-38-4631-01A	-393.792614791513	952.125313171464	558.332698379951
TCGA-L9-A5IP-01A	-465.561040526009	1044.46949189311	578.908451367099
TCGA-J2-8194-01A	430.862901025914	1217.78414219928	1648.6470432252
TCGA-97-8177-01A	1194.46817890195	2139.47415080674	3333.94232970869
TCGA-J2-A4AD-01A	-192.273106334397	207.631736514871	15.3586301804739
TCGA-38-4625-01A	205.683003910471	1600.91636719986	1806.59937111033
TCGA-67-3774-01A	343.983905621445	1750.79144221078	2094.77534783223
TCGA-NJ-A7XG-01A	-1429.66178485638	188.247706623248	-1241.41407823313
TCGA-55-6986-01A	-65.4729552932533	1374.80540968756	1309.3324543943
TCGA-55-A57B-01A	522.282702782372	1519.0235939942	2041.30629677657
TCGA-L9-A443-01A	406.746222428687	1133.36560513824	1540.11182756692
TCGA-50-6595-01A	1281.67512226596	1707.11940052199	2988.79452278794
TCGA-44-8117-01A	399.792803320887	870.685241365809	1270.4780446867
TCGA-55-6968-01A	122.872539014764	1660.31131681606	1783.18385583082
TCGA-44-A479-01A	1103.07745074451	2583.80172464935	3686.87917539386
TCGA-69-7761-01A	672.122583318229	2378.85201479299	3050.97459811122
TCGA-MP-A4TF-01A	-964.197085049742	802.6214983609	-161.575586688842
TCGA-78-8660-01A	183.267973817185	2197.78483030012	2381.05280411731
TCGA-05-4427-01A	340.884923238709	1382.30243886204	1723.18736210075
TCGA-NJ-A55O-01A	29.6605427344142	1468.68035396507	1498.34089669948
TCGA-75-5122-01A	845.637453887876	3369.9253467944	4215.56280068227
TCGA-86-8075-01A	1332.5031895426	1407.6808992407	2740.18408878331
TCGA-62-A46U-01A	222.305778568671	2915.36788133849	3137.67365990716
TCGA-05-5420-01A	884.475380834965	2877.03171300763	3761.5070938426
