"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SSPN",688.313031027472,1.13121201805585,0.0794657216376545,14.2352198500621,5.53884666434624e-46,7.14951392945514e-44,"UP"
"NCKAP1L",2347.61757531309,1.11270485761549,0.0742421657910934,14.9875053584304,8.86197553807562e-51,1.57026150193302e-48,"UP"
"COL10A1",3109.75831817722,1.71467156113537,0.120146256851363,14.271535427497,3.29248725610314e-46,4.33607223707475e-44,"UP"
"TNFAIP6",283.948756130296,1.28372307565862,0.0973993042868161,13.1800025170445,1.14387008755205e-39,9.10007015366405e-38,"UP"
"ZNF831",149.217916572887,1.06407013796601,0.103935695435316,10.2377737841589,1.34290785133714e-24,4.23537490783368e-23,"UP"
"NA.6",NA,NA,NA,NA,NA,NA,NA
"PTGIS",1249.97488073831,1.22123717711893,0.0991645296492576,12.315262134943,7.49711826509588e-35,4.31051127153345e-33,"UP"
"F13A1",2885.5815071534,1.83900000791538,0.111302052155706,16.522606477576,2.52256763246199e-61,1.1992040420565e-58,"UP"
"H1-1",1.86211220838306,2.44870689426988,0.466929169935755,5.24427911541015,1.56894538087287e-07,6.65802621785175e-07,"UP"
"TCP11",47.7739890618038,1.18617434570622,0.211921428107549,5.59723646777353,2.17795553615426e-08,1.0554582634307e-07,"UP"
"NA.7",NA,NA,NA,NA,NA,NA,NA
"CD93",4207.70861494418,1.03678561403412,0.0675027065939475,15.3591710073308,3.07481213585363e-53,6.65901814888035e-51,"UP"
"LAMP5",281.124180977227,1.00005283746437,0.111207195853769,8.99269898666789,2.41232240591832e-19,4.94932379092147e-18,"UP"
"NA.8",NA,NA,NA,NA,NA,NA,NA
"EVI2A",403.921619064124,1.25757250655377,0.0804912013063505,15.6237263967205,5.01849097261747e-55,1.30420543396383e-52,"UP"
"RGS13",56.8169300978792,1.32300906057677,0.112961076853457,11.7120790402264,1.1053547732355e-31,5.34602230400328e-30,"UP"
"OMD",201.381204027387,2.09018050198109,0.12273424327679,17.0301331248471,4.90924179647256e-65,2.8995767228802e-62,"UP"
"PLA2G5",101.025891484979,1.27999104681555,0.069241724378974,18.4858343476528,2.68513231956119e-76,2.90755078003151e-73,"UP"
"FGL2",2107.88351185594,1.13276289306783,0.0874034981595309,12.9601551072965,2.05830913205191e-38,1.49695907809044e-36,"UP"
"MCHR1",44.639834963552,1.07612124008391,0.123436474585865,8.71801664535823,2.83117342506869e-18,5.13324662586175e-17,"UP"
"IGLL1",15.1933383903518,1.25108539783638,0.180879048270336,6.91669604522987,4.62298509153455e-12,3.94167114694225e-11,"UP"
"ISLR",3757.34532750055,1.38685998396943,0.0834279042233509,16.6234546687948,4.71364101299705e-62,2.29683942460814e-59,"UP"
"SIGLEC9",252.42923203621,1.00078399701041,0.0802495289718737,12.4709018212576,1.07601352361835e-35,6.39407914294063e-34,"UP"
"NA.9",NA,NA,NA,NA,NA,NA,NA
"KCNA5",31.3932899468071,1.09307395092844,0.111709327604963,9.78498371052653,1.30616316184548e-22,3.5163572082224e-21,"UP"
"CNN1",638.29963053178,1.09160767530595,0.0951071814380491,11.4776577204845,1.70846234877283e-30,7.90965312112382e-29,"UP"
"COL5A1",16051.7429724669,1.42026201188437,0.0915015536059716,15.5217256528821,2.47309617186343e-54,5.67095499832825e-52,"UP"
"NA.10",NA,NA,NA,NA,NA,NA,NA
"GALNT15",223.088007096003,1.25935222579825,0.110574917124312,11.3891310846061,4.73689745643023e-30,2.12734719638898e-28,"UP"
"AOC3",2481.67476059601,1.23340598308378,0.0844104101000898,14.6120126844695,2.35457866606153e-48,3.53023790616963e-46,"UP"
"MATN3",381.034553450422,1.21032053395137,0.10883608490981,11.1205813306711,9.96207417162845e-29,4.09643011981456e-27,"UP"
"FCRLA",224.282137610064,1.34704810663109,0.13687904766152,9.84115633213734,7.48455861949171e-23,2.04889792208586e-21,"UP"
"JCHAIN",24288.4701551,1.09435304857492,0.133049748680844,8.2251417941422,1.94960076889688e-16,2.92305142973608e-15,"UP"
"CLEC10A",433.934142330039,1.19836176027869,0.104037688237141,11.5185350672842,1.06404617880737e-30,4.98541444017654e-29,"UP"
"ALOX5AP",2014.50088137575,1.1641806458465,0.0912140508944421,12.7631722791674,2.63257539301439e-37,1.75537476870776e-35,"UP"
"MYH8",2.2209367390849,1.17839990025664,0.205787365723985,5.72629858062904,1.02645499982036e-08,5.22912556233628e-08,"UP"
"RXFP2",4.75833639104239,1.21608999227826,0.261286083845974,4.65424707806151,3.25166700453188e-06,1.10338164319866e-05,"UP"
"POSTN",13072.786294038,1.33094538218653,0.0961522925087254,13.8420556334187,1.4208444363362e-43,1.48094539618337e-41,"UP"
"MYH11",4037.7045987757,1.17682713161053,0.113503053668495,10.3682420302775,3.45828158977837e-25,1.13860416328328e-23,"UP"
"GIMAP6",1083.15034647827,1.06264509726084,0.0668212858883897,15.9027932960727,6.06012885286227e-57,1.87488843604982e-54,"UP"
"GIMAP4",1482.99718468648,1.01593749018426,0.064180815648353,15.829301636654,1.95377627555159e-56,5.85862359796554e-54,"UP"
"LYVE1",347.575007566666,1.03937120717439,0.105401889870833,9.86103008634954,6.14160439222175e-23,1.68837815527213e-21,"UP"
"CD180",482.856726290338,1.1741457741668,0.0775998135566909,15.1307808659749,1.01484023886343e-51,1.99800516118052e-49,"UP"
"TSPAN2",270.231102872307,1.03151580976612,0.0827878035277387,12.4597557346778,1.23749066949969e-35,7.2869881085252e-34,"UP"
"GSTM5",142.942729856938,1.18259610725354,0.0868292850442699,13.6197840008771,3.05469854017067e-42,2.90434776812031e-40,"UP"
"SAA2",193.685823749202,1.02068397413316,0.19029000609608,5.3638338401114,8.14738569191297e-08,3.61074794272569e-07,"UP"
"GRP",76.4150548667493,1.11485442547884,0.18758941822564,5.94305604241413,2.79756735901163e-09,1.55260208982049e-08,"UP"
"IL2RA",476.576516111118,1.23437694517618,0.0972963967492039,12.6867693606164,7.0014672436884e-37,4.4742819031715e-35,"UP"
"DOCK2",1733.72413466785,1.11295154926796,0.0751496366565208,14.8098061252753,1.26604951791696e-49,2.07366144148904e-47,"UP"
"PDGFRA",1916.89878670222,1.37103509608646,0.0738238792003246,18.5717021502771,5.44491853009953e-77,6.24275923942176e-74,"UP"
"ADAMTS8",238.930582870607,1.16381717034085,0.144753427035324,8.03999735396144,8.98404119458698e-16,1.2458801163627e-14,"UP"
"HAVCR2",1250.22201631657,1.10797248056628,0.0762197918817918,14.5365456033338,7.10906388013253e-48,1.01342003966525e-45,"UP"
"WNT10A",301.894470466231,1.03844802159562,0.142793297743186,7.27238629549175,3.53191846695279e-13,3.53028835073727e-12,"UP"
"STAB2",58.344821212813,1.05938935036423,0.114792302801799,9.22874900587519,2.73810983849951e-20,6.11323011021695e-19,"UP"
"PLXNC1",1534.7186426947,1.12233963246815,0.0594870262812088,18.8669648262899,2.13197289344574e-79,3.19648335893469e-76,"UP"
"AOAH",598.243283475326,1.11932391207782,0.085257686744324,13.1287154838545,2.25448243016825e-39,1.75768468185638e-37,"UP"
"NA.11",NA,NA,NA,NA,NA,NA,NA
"SCN7A",774.734993590361,1.2641886601914,0.119463336463453,10.582231315615,3.60274541058637e-26,1.24726662162947e-24,"UP"
"BLK",147.754224032285,1.09591870129427,0.143226221529908,7.65166245110656,1.98397465329924e-14,2.34077784306632e-13,"UP"
"IL10",37.978148481255,1.11347320626642,0.0945945682144848,11.7710057488895,5.5064086731818e-32,2.73092649997421e-30,"UP"
"ANGPTL2",2767.77430419412,1.21289117510244,0.075775439945892,16.0063890881863,1.15310627148053e-57,3.68445808810278e-55,"UP"
"TLR4",1053.87398439507,1.22206932239178,0.0713711007533823,17.1227472953591,1.00422110518608e-65,6.11664798786933e-63,"UP"
"HEMGN",2.26265703100821,1.10667774428563,0.157794048898005,7.01343144443276,2.32542936220206e-12,2.06209934934852e-11,"UP"
"CCL21",2310.60294612219,1.16751826262662,0.121325443464733,9.62302901423961,6.39205736384771e-22,1.63500774381569e-20,"UP"
"SIT1",210.054017024699,1.01235724996228,0.0978926887569231,10.3415000938023,4.57322021839619e-25,1.4955811288047e-23,"UP"
"IRF4",713.09505994486,1.0681474903772,0.115993570251168,9.20867844712663,3.30164646910278e-20,7.34616339375369e-19,"UP"
"MGARP",9.21421494851726,1.04981437530356,0.141719450784577,7.40769435311564,1.28514067585023e-13,1.37027773047028e-12,"UP"
"SLCO2B1",4185.00084732312,1.27647355426266,0.0817451590164029,15.6152800926905,5.72929661034923e-55,1.46933842410943e-52,"UP"
"SULF1",8623.78338597135,1.48581616580089,0.104317645490758,14.243191157267,4.94178593377867e-46,6.42135664235201e-44,"UP"
"NXPE4",7.4400750695935,1.12059649904549,0.16687508844136,6.71518145405673,1.87832332575282e-11,1.47207076567142e-10,"UP"
"MMP13",1526.93567231768,1.25073963593206,0.207624437572415,6.02404827946048,1.70107587259135e-09,9.79373337898221e-09,"UP"
"THBS1",16231.5490577025,1.28304675012843,0.0915531419981551,14.0142295734021,1.27575200952217e-44,1.44567921032539e-42,"UP"
"ITGA11",2237.86639991137,1.61937406917387,0.114148725435502,14.1865278214505,1.11021173691173e-45,1.36095201032368e-43,"UP"
"CYP1B1",3562.51519550953,1.1398424879689,0.0989639093430651,11.517759307765,1.07366762627007e-30,5.00642480948084e-29,"UP"
"EMILIN1",4392.66606995207,1.19840858222238,0.0738660026059851,16.2240887545372,3.40736891566494e-59,1.30221622618089e-56,"UP"
"ZNF365",66.0945888263666,1.03086783687848,0.102728470830775,10.0348796058362,1.07089965762704e-23,3.12937109847205e-22,"UP"
"CDK15",33.8404597842523,1.11760423469694,0.101956510043413,10.9615779730108,5.84708425154822e-28,2.25674295340448e-26,"UP"
"CILP",1053.11818361002,1.76812206657081,0.146335458655074,12.0826632370657,1.30425682903839e-33,7.04190300686626e-32,"UP"
"FGF5",9.4089322096905,1.01078118898312,0.238995461038375,4.22929031619067,2.34429663265288e-05,6.88039236064407e-05,"UP"
"MMRN1",428.135937112554,1.0161414660955,0.111587307986851,9.10624590222431,8.52818953803647e-20,1.8306491441175e-18,"UP"
"CD27",260.046509256592,1.0283253125619,0.0996594087857148,10.31839667816,5.81866677282648e-25,1.89334948362539e-23,"UP"
"PTPRQ",21.2485430132297,1.08968767083752,0.174816710243048,6.23331527817065,4.56665776470464e-10,2.87867808835246e-09,"UP"
"LUM",27170.293331834,1.52520537864423,0.0736763198065396,20.7014327350923,3.36225181161984e-95,1.31067300120564e-91,"UP"
"KERA",9.50671222938691,1.70466105415529,0.134442177692353,12.6795108753453,7.68096745031869e-37,4.89247505144319e-35,"UP"
"GPR84",158.85106472028,1.11187707104033,0.105095803931516,10.5796523690409,3.70329667480611e-26,1.2798041753306e-24,"UP"
"NA.12",NA,NA,NA,NA,NA,NA,NA
"GPR65",246.721118096612,1.09297303148844,0.0748730125823001,14.5976900593795,2.90523214953208e-48,4.28983938079771e-46,"UP"
"FGF7",570.157280889561,1.62376831459834,0.0865136755563159,18.7689206840062,1.35612706326937e-78,1.88801947072738e-75,"UP"
"CYP1A1",40.1218738484806,2.00327031973019,0.295256145513881,6.78485562508304,1.16202657654373e-11,9.42140599143669e-11,"UP"
"CYP1A2",4.30715728291501,1.26930458231994,0.211210645524808,6.00966196171608,1.85910555238144e-09,1.05983697927659e-08,"UP"
"NTRK3",75.4741844711243,1.41570114758726,0.10986297115579,12.8860628171046,5.39274330584789e-38,3.80833187587975e-36,"UP"
"IGSF6",1188.32538844029,1.00750149750526,0.0870885079620364,11.5687077558437,5.93701162118099e-31,2.80869644437958e-29,"UP"
"CDH11",5108.09535148591,1.09338003850676,0.0871509795383241,12.5458146804415,4.19082001214223e-36,2.55725616484142e-34,"UP"
"IRF8",1297.08693417466,1.08776512796862,0.0791107489640822,13.7499030436747,5.09978239265238e-43,5.20418107932919e-41,"UP"
"UNC45B",13.427180758221,1.02329711574827,0.110604318117748,9.25187310190626,2.20592502091868e-20,4.96485965158499e-19,"UP"
"SPATA22",1.44381672469457,1.44921777111214,0.217956802094063,6.64910549791748,2.94879588669073e-11,2.24775051339418e-10,"UP"
"ABCA8",416.808812507874,1.04092953373215,0.128432148198097,8.10489856579048,5.2789540021063e-16,7.51585773959489e-15,"UP"
"COL6A1",15485.723326641,1.02948418962345,0.086824275369151,11.8571008539535,1.97702619236274e-32,1.00611533982617e-30,"UP"
"COL6A2",21791.7029081719,1.14467856674438,0.0838524224609377,13.6511090932122,1.98829210626708e-42,1.92804982304735e-40,"UP"
"NA.13",NA,NA,NA,NA,NA,NA,NA
"PADI3",57.2636556130251,1.06313344813377,0.289490864169139,3.67242486627357,0.000240259801673357,0.000592247855623548,"UP"
"PADI1",158.589353784559,1.19142132331221,0.23921216989636,4.98060497435561,6.33858079689352e-07,2.43139833067539e-06,"UP"
"NA.14",NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA
"CD53",3385.21342553004,1.06254070169499,0.0712721517802975,14.908216956468,2.91431422754744e-50,5.02680518664842e-48,"UP"
"DPT",338.665364084982,1.46539617535149,0.105672459695359,13.8673423480068,9.99105352260048e-44,1.05262499572436e-41,"UP"
"FCGR2A",2930.4966773543,1.02001347456025,0.0728441881449091,14.0026747574032,1.50112908643212e-44,1.69124318055772e-42,"UP"
"FCRL5",721.902537707086,1.04750719113053,0.130985474521637,7.99712483354401,1.27358101146861e-15,1.72624252395929e-14,"UP"
"CTSK",3841.29448192451,1.42760825215019,0.0814400922903334,17.5295510110767,8.52398886206678e-69,6.15337284853865e-66,"UP"
"FLG2",1.50892862313532,1.17131442955173,0.235717737036648,4.969139973415,6.72505120455586e-07,2.5673949368965e-06,"UP"
"GADL1",5.85934994079971,1.08790501767321,0.174786847082284,6.22418125753513,4.84077186619744e-10,3.04065370428793e-09,"UP"
"NA.16",NA,NA,NA,NA,NA,NA,NA
"COL8A1",7044.52084683242,1.1601720238168,0.0899693647476955,12.8951896800685,4.79082912369113e-38,3.40795804561547e-36,"UP"
"BOC",315.24252099965,1.02856919643904,0.0863174125798861,11.9161263723829,9.75390343102035e-33,5.0562056322877e-31,"UP"
"SLIT2",1166.35531378786,1.05936827398821,0.0849913288714734,12.4644277016803,1.16706608462617e-35,6.89311668346931e-34,"UP"
"CORIN",169.297010876906,1.32724720458055,0.103842336223378,12.7813688795048,2.08369541518996e-37,1.41018428255095e-35,"UP"
"NA.17",NA,NA,NA,NA,NA,NA,NA
"SFRP2",6568.79752301355,1.67838766053218,0.125103627497252,13.4159791695013,4.87452017810352e-41,4.27969697258629e-39,"UP"
"ADAMTS16",316.558165086489,1.36278194728568,0.120574310090118,11.3024237606429,1.27645563214657e-29,5.56586056513843e-28,"UP"
"CXCL14",7839.029586067,1.15230988155843,0.203993504891013,5.64875770027127,1.61611450074026e-08,7.9766238880548e-08,"UP"
"TIMD4",43.192576962403,1.24225414134398,0.126831027437145,9.79456026215371,1.18813268468899e-22,3.20746456471927e-21,"UP"
"KCNMB1",238.625211552523,1.05866597163011,0.0771517520570535,13.7218655883177,7.51076415830792e-43,7.46899511273365e-41,"UP"
"GPR174",220.053881051103,1.04792949254165,0.104578493172527,10.0205067098533,1.23866256603988e-23,3.59267441587548e-22,"UP"
"LPAR4",10.8680453949435,1.09208942192303,0.120577270718063,9.05717483419066,1.33872919438972e-19,2.80873743033908e-18,"UP"
"DOK2",808.574397742876,1.00857738476114,0.0815034765972783,12.374654761596,3.58432179163507e-35,2.07922666787973e-33,"UP"
"DPYS",22.6381663868842,1.07716699163722,0.152051557304935,7.08422202790725,1.39827573922738e-12,1.29164893048724e-11,"UP"
"IFNK",0.706223127032997,1.22823216845458,0.342971084810708,3.58115369735167,0.000342080334638788,0.000817494826194778,"UP"
"TMEM236",85.8401130231997,1.09828689095263,0.113667012781289,9.66231859251798,4.35885020740183e-22,1.13580681005975e-20,"UP"
"FAM13C",105.62159226969,1.04877650699807,0.0846432485652503,12.3905512226363,2.9401545877677e-35,1.71576506198144e-33,"UP"
"NA.18",NA,NA,NA,NA,NA,NA,NA
"HTR7",28.2228686989226,1.00256034629888,0.113990491145671,8.7951226126194,1.42891859659288e-18,2.66688849086889e-17,"UP"
"ADAM12",1396.35864032,1.50611652536271,0.116521763318751,12.9256242135871,3.22667238963629e-38,2.31217174802944e-36,"UP"
"SAA4",5.47232716094348,1.03787790071309,0.221392058969252,4.68796354099241,2.75937161739004e-06,9.47893509438069e-06,"UP"
"SCGB1A1",2000.48990819001,1.43924208897326,0.259819662765189,5.53938864232136,3.03529376694052e-08,1.44400563366946e-07,"UP"
"MS4A3",1.77308700586601,1.09045038948165,0.215237204344692,5.06627277938131,4.05680470501839e-07,1.60452882519305e-06,"UP"
"MS4A2",212.397067708472,1.13956472438071,0.123001912663979,9.26460979101854,1.9579191432686e-20,4.43741883970328e-19,"UP"
"FEZ1",341.072988173061,1.0074895118462,0.0660331501918251,15.257329219028,1.4714899199795e-52,3.05115000322558e-50,"UP"
"SCN2B",59.5536933959684,1.15327612376201,0.120100797721712,9.60256838954802,7.79766843761422e-22,1.97896296246795e-20,"UP"
"TAGLN",6868.75506298328,1.18699533649923,0.0761793341572587,15.5815924309458,9.71052060880543e-55,2.39579439476236e-52,"UP"
"JPH2",157.09721948158,1.0796975512378,0.101190228427863,10.6699783962589,1.40659084559262e-26,5.03043342595335e-25,"UP"
"MMP3",111.651638932715,1.22219797483372,0.183976807871927,6.64321763689114,3.06908137865182e-11,2.33123402772029e-10,"UP"
"NA.19",NA,NA,NA,NA,NA,NA,NA
"DLG2",209.261790812039,1.08669633838106,0.0801493319097148,13.5583954661679,7.06649823907695e-42,6.5276358852061e-40,"UP"
"RGS18",114.781455538213,1.25494273999891,0.0863309982728355,14.536409460167,7.1232130436683e-48,1.01342003966525e-45,"UP"
"CACNA1C",389.571495647263,1.01960188967821,0.0770063412004846,13.2404925851976,5.12118392044243e-40,4.21168758621702e-38,"UP"
"ADAMTS12",1382.81041873773,1.48208595090302,0.092408116323032,16.0384824393787,6.88154454547364e-58,2.23546974559711e-55,"UP"
"PTPRO",345.528043061815,1.20479108862846,0.085593836944307,14.0756756752519,5.35902270051313e-45,6.25465338058093e-43,"UP"
"ZNF385D",77.8971466834234,1.20726084089128,0.0964773540354376,12.5134115975842,6.30566661839731e-36,3.81688658568888e-34,"UP"
"TDO2",291.913073369633,1.17425066001555,0.109181426247805,10.7550404896745,5.61093730890389e-27,2.0556913362377e-25,"UP"
"GFRA1",234.143324970668,1.20021117014861,0.145552045603654,8.24592444009236,1.63888210893936e-16,2.47623652599512e-15,"UP"
"CYSLTR2",105.92400601178,1.00535453551514,0.082522099194415,12.1828521732901,3.83627254002948e-34,2.12422693402598e-32,"UP"
"SPOCK1",729.106414846485,1.13336665068551,0.161871193423551,7.00165747045521,2.52951903058232e-12,2.23393092093701e-11,"UP"
"CIBAR2",166.19600299493,1.04323729525878,0.176571339076734,5.90830482859627,3.45645995015104e-09,1.88605433618124e-08,"UP"
"HS3ST3A1",97.3221017704018,1.06764232753781,0.119737922901187,8.91649280085537,4.81288041251781e-19,9.52814824916174e-18,"UP"
"SEMA3D",175.207077685801,1.14994817063185,0.120282902605424,9.56036265938927,1.1734477941646e-21,2.9435869956322e-20,"UP"
"THY1",3189.48174761929,1.18258954455817,0.0788589233108247,14.9962679543183,7.76652217695911e-51,1.41474096963654e-48,"UP"
"ABI3BP",1317.25743701475,1.21472337122795,0.101475467316372,11.9706112556327,5.06540648260885e-33,2.6683739933116e-31,"UP"
"ABCA9",130.246302525985,1.07392058556112,0.0870028332146897,12.3435128016014,5.28009015042396e-35,3.05383492943363e-33,"UP"
"ABCA6",288.00736380343,1.33665549253594,0.081266605966161,16.4477829071946,8.69949038218198e-61,3.76803926753576e-58,"UP"
"PDLIM3",1154.51659236453,1.06835063086921,0.0835983326917551,12.7795686405427,2.1324894252008e-37,1.43821285074702e-35,"UP"
"PIEZO2",566.840283238737,1.00568381565547,0.0952074339025331,10.5630807851099,4.41915464284116e-26,1.52449102909057e-24,"UP"
"PIK3AP1",1615.68658837995,1.04052321036354,0.0781292462202946,13.3179732392357,1.81980914717366e-40,1.53549351028406e-38,"UP"
