	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-49-AARO-01A	0.0466711647550451	0.0168782741674829	0.0291352778158614	0.0494965903712998	0	0.032821972471413	0	0.0429503176962541	0.0621420925693885	0	0	0.048686698413858	0.00508504061241113	0.285966285004635	0.0543128821588676	0.1269716407168	0.128473794822141	0.0505538614072423	0.00403640094250983	0	0	0.0158177060747899
TCGA-55-6983-01A	0.0463863440795258	0.139851637521395	0	0.111445668843316	0	0.171309805749705	0.0296298783176009	0.0367095199859265	0.0354793898887926	0	0	0.03817021145229	0	0.155205591618098	0.0271644615916977	0.100987165628838	0.0402908247670978	0.00553031798045618	0.0614712491134931	0	0	0.000367933461767428
TCGA-86-7714-01A	0.00201194230030583	0.00183341837684494	0	0.0395661438407104	0	0.184481425236796	0.00164275381950407	0	0.0248840275960098	0	0.031929867672898	0	0.038184163227459	0	0	0.131996881280017	0.346526982060947	0.0695639786079477	0.110690051994301	0	0	0.0166883639862591
TCGA-86-8074-01A	0.0386601375774161	0	0.0550036286479538	0.017205286751406	0	0.142089007695772	0.00450489328496179	0.043832958903847	0.0569911875513543	0	0	0.0355962234625481	0.0126987790123285	0.159798948002854	0.0714796563470649	0.207357523072204	0.105395237847707	0.0216464823456905	0.0125310919893383	0	0.00789671267304606	0.00731224483450635
TCGA-78-7143-01A	0.032865909934665	0.00160298420301101	0	0.0277776472923159	0	0.187384770841565	0	0.0450486305473635	0.042669719622879	0	0	0.0112474883771476	0.0331831911029985	0.0556375865012895	0.00556805682561389	0.144265077123427	0.170434351026187	0.179495353851714	0.0610415239074813	0	0	0.00177770884234275
TCGA-55-8620-01A	0.0140681313703468	0	0.234433319455258	0.0842022630987731	0	0.0242915314093995	0.0291769009763553	0.0348588904664944	0.0118781377358449	0.0151226373995807	0	0.0454876615003344	0	0.178378951830799	0.108841339999106	0.121490315274891	0.0220431761942152	0	0.0721167838408734	0	0	0.00360995944772826
TCGA-75-6207-01A	0.0133781292622779	0	0.0124457680722268	0.0207156932452226	0	0.27727200629015	0	0.0167981740738931	0.0132559935763219	0	0	0	0.0383158310869477	0.14173399773387	0.0140872583569152	0.267997863762203	0.026631163753175	0.0899130064344303	0.0270877242104391	0	0	0.0403673901419274
TCGA-55-8092-01A	0	0.0228540803116293	0.350465638983928	0.268258830594526	0	0	0.0365433060000618	0.0137719371943883	0.0534040872788646	0	0	0.0248505023065566	0.00320701487569518	0.037358912794846	0.102908599795808	0.0591851136513266	0.000509284611619134	0	0.0266826916007511	0	0	0
TCGA-50-5068-01A	0.00366863022819546	0.0544099162001452	0.148611684121911	0.130935756179992	0	0.053013821054346	0.00214589093435678	0.0527434660391031	0.0198147803569833	0.0245357879119832	0	0.0527519220534183	0.00872776504240316	0.0113821177470165	0.108051004507555	0.133271537359024	0.162048042695708	0	0.0325522849745267	0	0	0.00133559259333191
TCGA-86-8281-01A	0.0126230272114295	0.0274963197694418	0.169983228289672	0.0523628105997223	0	0.126243835555538	0.00856661132721182	0.0517635706041997	0.0616431831257208	0	0	0.057414902982182	0.00741491171307516	0.0636163806897854	0.0431447671618013	0.134457223127621	0.08597809636394	0.020070688078845	0.0762929049547737	0	0	0.000927538445040605
