"gene","HR","z","pvalue","lower","upper"
"RCSD1",0.822630022302022,-2.2336279218577,0.0255075651496969,0.693103740299202,0.976361999288152
"DNAH9",0.81294092230749,-2.22302220845956,0.0262143024793067,0.67726871674831,0.975791331888357
"OR14L1P",0.0478842575146441,-2.21257495911482,0.02692696300857,0.00324390911965758,0.706833031737579
"TFF1",1.04727563944189,2.21241062209247,0.0269383056115432,1.00528466165417,1.091020590291
"CD300LG",0.69423791317309,-2.21132261715087,0.0270135042283416,0.502379871391956,0.959366223713406
"ABCC8",0.623949017812138,-2.20597651835882,0.0273856438776732,0.410339543834392,0.948756664275703
"SAMD3",0.618538579929798,-2.20049602246863,0.0277717218330601,0.403217047467151,0.948843748707674
"VGF",1.10967020003174,2.19136670973889,0.0284252661415833,1.01104936980475,1.21791080595429
"CYP4F3",1.08976184492538,2.18137175393028,0.0291559310834593,1.00876297123815,1.17726454332234
"CIBAR2",0.884489061500525,-2.18080507553182,0.029197837011832,0.792105749593223,0.987647041213666
"ADRA1A",0.465310810615704,-2.17534522503064,0.0296042558728625,0.233551727563985,0.927050091789734
"GPR65",0.811405834717855,-2.17141915969894,0.0298995018935632,0.671915629384311,0.979854314770835
"DLX1",1.365762389153,2.16940875929318,0.0300516645539105,1.03055160544724,1.8100082458417
"C7",0.919542789876416,-2.16914019909213,0.0300720415755696,0.852426113501305,0.991943969126667
"P2RY10",0.847761421105562,-2.16159678043353,0.0306492698472248,0.729857207414783,0.984712379097574
"GFY",1.16636325601157,2.15877050133554,0.0308679760973079,1.01427306546938,1.34125936228459
"NOTUM",0.906097821448943,-2.14610092034595,0.0318649278759986,0.82806511518322,0.991483938860124
"FCRL5",0.854734380977193,-2.14259218777968,0.0321458590143864,0.740410988411572,0.986709913087301
"ADGRG4",2.84149869605811e-05,-2.13491071761973,0.0327683037096586,1.90395690943401e-09,0.424070250733784
"CD28",0.825552714862052,-2.13471659276024,0.0327841668077871,0.692317123381537,0.98442933447496
"NKAIN1",1.16669543489587,2.12619062720821,0.0334873902136886,1.0121264409869,1.34486975409872
"HMX2",1.34709508747571,2.11192162049764,0.0346931726149976,1.02166967510685,1.77617601747004
"MS4A7",0.872816198824708,-2.11019929410153,0.0348411933194921,0.769221807230916,0.990362090322436
"GZMK",0.855213175390913,-2.10843294490093,0.0349935572512073,0.739489251714072,0.989046931604363
"HOXD11",1.29667126498913,2.10553007247853,0.0352451924292069,1.01812360944612,1.65142655945598
"ABI3BP",0.871166452462094,-2.10157044595727,0.0355909210122795,0.766016891195316,0.990749677479215
"PRAME",1.06371103074998,2.09884924894327,0.0358301918539925,1.00409540151585,1.12686618744696
"CSF2RB",0.868570733212347,-2.09159696343093,0.0364745844008843,0.761134888530001,0.991171381001934
"SLC14A2",0.903480221858603,-2.08502455048173,0.0370670720928492,0.821261219852867,0.993930422571165
"GNG4",1.08869429897379,2.08137328658832,0.0373997518357676,1.00496925038648,1.17939456969675
"HOXD13",1.14389757986535,2.08096159365646,0.0374374215891319,1.00784773249945,1.29831286118662
"DTHD1",0.835347828461862,-2.08080835693857,0.037451450937002,0.705135051131427,0.989606166075961
"CALN1",1.46663013567087,2.07422290191474,0.0380586142207324,1.02131991040774,2.10610204788743
"GIMAP8",0.84637110950129,-2.05544425040875,0.0398361151680572,0.721915942022214,0.99228180637186
"NR0B1",1.0719302122748,2.04767107378747,0.0405922400096428,1.0029796242473,1.14562086029395
"IKZF1",0.849131637109627,-2.03588116050625,0.0417622900334625,0.725435052915843,0.993920178301781
"DOCK2",0.859102519117981,-2.02462616320547,0.042905765630777,0.741645635392625,0.995161439821775
"GPIHBP1",0.882638498202625,-2.02248365263844,0.0431264107441909,0.782062946763568,0.99614835574726
"PTGDR",0.684185495621249,-2.02122614814755,0.0432563600871463,0.473525649600445,0.988562695206648
"SH2D1A",0.855103055086269,-2.01291290340747,0.0441237928667616,0.734218198971276,0.995890916136876
"TLX3",1.36987637723776,2.00989737115193,0.0444420520580206,1.00784948416818,1.86194597347328
"NLRP13",1.54853801211777,1.98192010407693,0.047488183465572,1.00485637855461,2.38638080640231
"ERICH3",0.854400836864434,-1.98089553703347,0.0476029896903681,0.731215588921335,0.998338658385987
"SCIMP",0.855744327011899,-1.97324915443816,0.0484671827176598,0.733066815993952,0.998951715226854
"CXCR5",0.465726433698606,-1.97129896360597,0.0486896898447123,0.217856250974727,0.9956157331964
"IL10RA",0.864040232917615,-1.96954493575821,0.0488905477534777,0.747096435554591,0.999289366902318
"GAST",1.24703077738026,1.96917967704513,0.0489324617837346,1.00103370806824,1.55347991501163
"MRC1",0.918042649015365,-1.96870123490867,0.0489874094215397,0.843122215006608,0.999620565571912
"ICOS",0.847609206703456,-1.9652443515923,0.04938596293549,0.718760595824106,0.99955586249789
"GIMAP6",0.856883609269682,-1.96519011184896,0.0493922379962977,0.734551171092068,0.999589339355919
"ENO3",0.904606397071682,-1.95653277583043,0.0504024253244156,0.81816887076044,1.00017583517011
"PTPRO",0.767820903075419,-1.95425254002958,0.0506713585653271,0.58909390055972,1.00077243821299
"TCL1A",0.855641538760818,-1.94711621685693,0.0515208032200076,0.731369689444089,1.00102923790766
"CD84",0.877511802575175,-1.94540964814188,0.0517256944634665,0.769274589496151,1.00097803069652
"TRAT1",0.847759851021698,-1.9452886990695,0.0517402414885776,0.717801859970595,1.00124672988974
"P2RX7",0.845253759361343,-1.93754139125731,0.05267919884709,0.713065238662165,1.00194747826289
