	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
SHCBP1L	0	0.0392	0	0	0	0.0293	0	0	0	0	0	0	0	0	0.034	0.0342	0.035	0	0.0398	0	0.0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0179	0	0	0	0.0434	0	0	0	0.026	0	0	0.0688	0	0	0	0	0	0	0
NMNAT2	2.5051	2.0536	0.9876	1.1842	1.9094	0.6924	1.2626	0.8567	2.1686	0.649	0.798	1.0962	0.33	0.8971	0.1752	1.278	2.9185	1.6623	1.743	0.8722	0.436	2.6237	0.5752	1.1987	2.1703	2.3749	0.6672	1.3569	8.1904	0.6196	1.0289	2.8705	0.9268	1.005	1.8089	1.0924	1.723	0.5801	0.8305	0.686	2.1451	0.7797	2.5015	0.8758	0.5357	1.6207	1.7111	0.57	0.5397	2.7759	1.5656	2.0363	0.9829	1.3833	1.9361	1.8607	1.6339	1.3111
ZFYVE9	19.4449	34.1459	21.6523	18.1359	23.4512	16.5505	22.0976	19.1354	23.5307	18.9613	11.3874	16.8134	9.1096	31.9841	10.5886	25.8722	14.7864	25.1804	30.394	35.5611	6.1352	12.6911	18.3923	24.9388	17.0193	31.8878	6.1634	32.768	15.1637	28.2324	8.6939	24.8513	8.776	10.9295	23.4819	17.4466	13.5546	8.4867	33.566	19.964	25.0006	29.2667	26.1821	23.3851	25.4367	36.2102	29.5086	15.5282	7.2357	21.546	22.1299	22.7024	16.4847	25.7117	25.1947	12.8438	20.0767	28.3659
ATP2B2	0.2095	0.0228	0.1215	0.0971	0.0465	0.0085	0.0251	0.06	0.0239	0.0258	0.2634	0.0275	0.0263	0.0199	0.0198	0.0696	0.0916	0.0694	0.0347	0.0445	0.013	0.0159	0.0177	0.0349	0	0.1236	0.0306	0.0602	0.2005	0.0737	0.0102	0.0742	0.0258	0.0669	0.1294	0.0264	0.042	0.014	0.0341	0.0365	0.0518	0.048	0.0251	0.0694	0.0207	0.2246	0.1106	0.0983	0.0209	0.0238	0.02	0.0694	0.1222	0.0564	0	0.1054	0.042	0.0196
LYZL4	0	0	0	0.1224	0	0.0859	0	0.1007	0	0	0	0	0.0441	0	0	0	0	0.0933	0	0	0.1312	0	0.0892	0	0	0	0.0771	0.1517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635	0	0	0	0.0762	0	0	0	0	0	0	0.1535	0	0	0.0494
SLC6A1	0.6428	0.1794	0.6835	0.1707	0.5228	0.2204	0.3109	0.3261	0.5838	0.5086	0.1704	0.2369	0.3719	0.4478	0.2112	0.4305	0.2634	0.44	0.5919	0.476	0.3026	0.8643	0.6667	1.2902	0.3488	0.3616	0.254	0.6604	1.1105	0.5864	0.5644	0.6714	0.0676	0.1881	0.1651	0.2029	0.3722	0.3154	0.5651	0.223	0.2673	1.0454	0.5289	0.2589	0.5359	0.5425	0.5102	0.1744	0.2054	0.263	0.5565	0.3067	0.8398	0.9769	0.3513	0.7556	1.1335	0.6369
SMG1	13.9781	11.3155	16.4313	10.875	15.5882	2.3896	20.9666	8.0946	13.1451	6.7402	11.3699	9.6554	3.2949	7.2326	2.6658	12.022	5.7228	10.479	10.1787	13.0189	4.7963	5.6097	9.5929	12.7771	11.1339	15.723	9.0675	16.0611	15.3763	12.4629	9.6242	15.0861	1.747	8.7857	9.4353	3.3839	11.6065	2.4738	14.8624	7.4637	16.0351	11.9551	13.4729	6.1358	13.304	14.13	9.2227	7.3808	3.839	18.6188	13.2422	5.7103	13.4297	13.3899	9.7723	11.5962	15.3204	7.9468
FCHO2	43.7275	37.2752	58.177	54.5166	50.6804	36.2351	47.7035	54.955	47.5362	39.8223	58.1816	40.1132	40.5666	45.4593	48.1888	48.3989	30.3341	52.3186	47.0317	75.4093	40.184	37.0136	42.5931	37.4058	47.0614	52.9753	38.1273	41.113	29.5598	45.3708	29.3667	42.2819	35.436	51.3203	37.9858	41.0003	36.3986	32.8506	54.9222	40.7883	46.6716	43.7841	44.3824	24.0008	51.109	51.0392	32.1161	23.6346	37.1449	44.7414	46.026	44.1764	42.8558	57.1623	31.1988	43.78	36.4024	33.7967
RBPMS	59.1517	48.1735	35.9563	41.0121	35.9547	21.7594	44.5568	45.4898	37.0924	49.3672	38.26	38.6991	28.8796	41.3197	31.846	35.9393	30.7213	36.5967	36.3779	45.9029	23.4868	39.1542	41.097	39.1748	41.9795	40.8572	25.408	44.9762	46.0976	42.6953	35.5882	42.6684	18.9495	43.0332	36.2674	25.1358	47.1136	25.6275	40.3136	46.0557	41.1167	48.1969	44.2629	38.2863	40.0013	41.3708	47.6782	32.3229	20.3308	38.3102	43.9758	39.238	51.312	49.3235	43.8384	37.2909	45.3687	40.5669
TMEM171	0.469	0.4675	0.399	0.7973	1.2971	0.979	1.0313	0	0.2938	0	0.5406	0.5262	0.647	0.0817	0	0.7343	0.5849	0.38	0.0949	0.4571	0.3562	0.9149	0.5083	0.3222	0.0893	0.3044	0.5025	0.1236	0.9049	0.6511	1.5968	0.3322	0.4231	0.4575	0.6127	0.5779	0.3449	0.2877	0.1398	0.685	0.8511	0.5906	0.4117	0.414	0.5101	2.0607	0.7264	0.5587	0.5139	0.5204	1.1485	1.2206	1.5598	0.3703	0.5002	0.8216	0.919	0.9254
