	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
CFAP58	0.9517	10.78	1.3571	5.6026	2.4587	0.6761	7.0163	0.6169	15.0779	0.6833	0.9291	2.88	1.9433	0.5557	1.2487	0.9641	2.0046	4.6666	5.9815	2.3239	4.4253	8.8451	0.728	23.7882	2.9096	0.872	3.1939	3.9817	26.4813	3.164	1.2639	18.4348	1.5402	0.4751	7.0929	7.216	0.957	0.5975	0.8509	0.7052	6.9327	10.7142	1.6215	0.5188	1.0958	1.8253	1.1055	2.2004	1.012	2.0033	15.0107	0.6701	0.5186	5.1047	3.0446	4.7379	4.936	4.1058
GOT1	29.0241	42.0433	48.914	58.3312	38.4398	37.1424	34.5159	40.2781	39.5414	39.7481	32.2799	53.8432	34.1781	46.0426	43.1173	38.1209	39.3403	44.2631	45.4708	38.3233	38.7537	46.708	44.4846	40.4246	35.825	34.1158	37.0246	38.5481	49.2526	32.3287	37.0542	36.0274	25.2368	50.8463	37.1746	46.1879	35.7916	39.4342	39.3578	47.7768	56.0662	44.1595	33.649	39.6829	39.2352	38.3124	43.2039	52.1124	42.7527	47.8728	59.5662	45.4443	32.9776	51.3184	35.755	35.9011	31.2787	40.1265
CPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf95	0.0665	0.3182	0.1697	0.0848	0	0.0595	0.0878	0.1396	1	0.0902	0.184	0	0.0306	0.0695	0.069	0	0	0.1617	0.1615	0	0.1212	0.5005	0	0.4569	0	0	0.0535	0.1051	0.28	0.1583	0.2145	0.424	0.36	0.0779	0.2433	0.1229	0.1467	0	0	0.0729	0.3621	0.67	0.1752	0	0	0.0923	0.0515	0.1585	0	0	0.2094	0.0692	0	0.0788	0.4788	0.0368	0.391	0.2739
SFRP5	11.3127	2.731	87.5981	9.6592	6.8376	2.8781	70.8594	22.9296	3.1204	22.3816	2.5837	19.9106	12.3833	9.2729	14.4819	22.1534	10.65	15.1846	10.7115	14.078	2.1516	34.749	7.1341	8.9345	27.0304	2.4923	0.9591	3.691	16.6017	6.9156	28.3969	11.2822	4.3067	18.5582	6.2361	9.2544	4.7506	12.2231	9.6506	63.436	6.1675	11.0427	2.8696	15.3218	8.5214	12.096	16.5162	29.8338	30.0196	2.2889	4.139	12.9642	35.9439	2.9498	9.7119	15.788	1.2964	13.5681
GNA13	41.7691	32.2576	80.0094	43.3143	88.965	46.0229	66.3725	37.2368	52.9354	52.4473	74.2424	46.361	38.1657	68.6879	59.5064	70.1465	38.5244	62.9688	52.1552	62.8081	54.289	26.7129	41.8195	46.212	45.3003	59.3451	33.2099	60.9528	34.6505	54.3736	30.7756	44.0423	36.0208	61.8089	34.1924	31.5755	37.3047	56.3457	97.704	43.7224	79.2787	62.1406	51.6328	54.9613	56.8911	56.0559	44.4885	42.5305	59.2476	97.9355	64.9161	54.3448	47.6846	43.2927	43.6025	57.8934	38.6291	45.0767
HOXB8	0.2439	0.7292	0.2593	0.1036	0.5554	0.6909	0.429	0.3413	0.1018	0.1103	0.0562	0.1173	0.2616	0.085	0.2108	0.1273	0.4779	1.9362	0.3455	0.6179	0.037	0.3058	0.0755	0.1861	0.0929	1.0024	0	0.4497	1.0266	0.5078	0.1748	0.6333	0.6233	0.0714	0.6796	0.1127	0.2242	0.8676	0.2181	0.2671	0.1844	0.3071	0.0535	0.1884	0.2652	0.8459	0.9128	0.3228	0.2227	1.3531	0.0427	0.7616	0.869	0.1444	0.2601	0.3148	0.1195	1.1715
KANSL1	9.5429	10.5175	9.7513	7.7332	9.6859	2.7625	11.6499	7.9009	9.3484	7.9436	6.1685	7.9399	4.8096	7.6269	3.8284	7.4427	6.7901	8.7137	9.2746	10.2874	5.35	6.0535	8.4573	10.9506	8.8517	13.8436	6.5625	11.4907	10.5901	10.0708	6.618	11.6832	2.1355	7.441	6.668	4.2954	8.2758	3.1986	7.8511	7.7119	13.8341	8.669	10.8172	6.5453	9.3133	10.9845	8.9663	8.0038	3.9085	7.2294	7.9218	6.3694	8.9893	10.0982	9.244	7.4402	9.8769	9.1214
HOXB5	5.8408	6.4134	8.2466	2.9908	8.2708	9.5077	12.8853	5.6278	8.9965	8.1817	2.6485	4.3276	6.9561	9.3556	5.2649	9.7945	11.0026	6.4926	8.6615	8.2296	2.9666	3.8823	5.2921	11.1367	5.5782	14.1688	2.7314	11.9562	9.6736	13.1022	3.5515	10.3071	8.4649	1.289	8.0547	5.9721	4.33	19.0297	7.6194	5.9784	4.8214	8.741	10.7788	9.7302	7.9138	14.6802	14.6445	5.4744	2.9899	2.3109	6.6322	10.5652	7.0963	5.1594	13.555	5.9587	9.6388	14.9573
CRHR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352	0	0	0	0
HOXB3	2.739	1.8183	3.7958	0.919	3.9525	1.6413	5.9997	1.9394	2.6269	2.0086	1.9756	1.6005	2.0427	1.438	1.346	3.1052	2.1433	2.1404	2.546	2.9577	1.1703	1.0189	2.3252	4.2367	2.1857	5.6817	1.9272	5.4065	4.5651	4.7016	2.043	5.7357	1.2886	0.6367	2.5746	1.3805	2.1538	2.7011	2.2966	1.7298	1.2247	2.4918	4.607	2.2471	3.4063	5.2368	4.9019	2.0397	0.8184	1.3197	1.678	2.4965	3.0259	3.3058	3.721	3.8422	6.0089	4.2563
HOXB1	0	0	0	0.0501	0	0	0	0	0.0985	0.1599	0	0	0	0	0	0	0	0.0382	0.0955	0	0.0179	0.0329	0	0.162	0	0	0.1579	0	0.3723	0	0	0.0557	0	0.046	0	0	0	0	0	0	0	0.0495	0.0518	0	0.0855	0.0545	0.0304	0	0	0	0	0	0	0.1862	0	0.0652	0.1155	0
DUSP1	691.2828	908.7962	1479.8305	422.6831	3100.3096	633.5446	1233.3174	876.5468	1176.3211	1904.1392	2227.0382	1652.6539	1758.3644	719.2907	2015.3361	2775.5305	767.4037	1733.8336	1637.456	2230.4226	1399.7413	2239.5518	2072.3889	3271.3292	1697.3539	2306.6677	628.6232	861.6215	694.3349	1885.4157	490.4505	1275.5081	391.8221	1068.6305	1788.6568	1196.1507	613.1867	1448.5433	2214.3933	1414.8648	644.4822	1541.5451	2168.9309	2295.0012	3729.0038	2031.0754	1909.5859	1778.4985	432.1163	2832.2206	2671.002	1091.8783	849.5597	2983.6939	1503.1273	1140.872	1300.0824	4184.708
PANK3	26.506	18.1385	30.5426	21.6698	25.253	13.8364	31.7432	18.6224	22.8665	21.5035	20.3861	19.0961	12.3913	18.1862	13.7346	28.4353	17.3407	22.1233	27.1962	33.6229	14.0171	13.2937	19.5339	22.4022	21.0014	28.3382	17.4901	28.3432	19.9344	25.5502	16.6186	23.0176	12.8796	19.4439	17.0511	12.5122	19.549	15.4304	28.3677	16.9167	23.1912	26.7287	21.3964	13.8841	30.0985	25.0634	17.9228	13.5794	15.4877	30.5461	24.7353	20.1798	23.7939	28.1688	19.908	22.5862	19.7745	19.5962
MSX2	0.703	0.7883	1.2894	1.5124	1.9726	3.0264	1.623	0.8762	1.1559	0.4171	0.4254	1.7322	1.0505	1.1937	0.1367	2.6599	0.7984	1.0892	1.067	0.7193	0.7607	1.8732	0.4081	2.3539	0.9034	0.5133	0.6355	0.9722	2.9592	1.5945	0.5196	1.4935	0.5549	1.183	1.4921	1.8675	0.8238	1.617	1.0214	1.2272	2.4714	1.4937	0.9834	1.6288	0.6689	1.524	1.9734	2.1282	0.4814	2.3036	1.1989	2.7441	1.5655	1.2487	2.2841	1.3367	1.8079	1.1759
TEK	46.4368	41.4309	83.5417	26.1394	191.7357	82.0069	104.1205	42.3548	68.0858	96.1698	23.9675	54.7862	51.2317	126.8096	68.6868	117.8305	62.8339	104.0387	86.2672	140.0456	37.0698	15.5759	93.7328	96.2777	64.2902	63.1537	23.9121	125.0304	22.8825	138.0382	22.3487	67.3994	20.4037	42.3354	27.0576	49.9752	46.6411	53.5845	143.0514	40.55	80.6621	103.4192	144.9877	82.705	92.5496	111.8979	69.3845	37.6172	28.436	94.4049	85.813	51.1961	54.2098	90.5936	161.8831	60.6682	59.0053	106.3752
RCL1	11.5888	12.9012	14.5757	15.8881	13.7529	18.7912	15.2271	24.6483	14.1631	16.1341	14.4934	17.8168	14.7482	14.626	18.9035	13.5497	11.8071	20.0195	18.112	21.8038	12.9906	17.344	17.0352	18.6649	13.9389	13.6639	11.6072	13.3556	15.1765	17.4543	13.2964	15.1438	12.711	25.2535	12.6526	17.9489	10.8556	16.6435	12.7039	17.0246	16.253	22.1111	16.9361	13.1251	17.146	18.8954	12.447	14.9937	16.576	24.8281	16.0759	13.7339	10.4953	17.2457	18.1221	12.7036	14.2904	17.2624
CAAP1	19.1718	18.1966	21.779	21.4462	21.2473	22.074	19.3374	14.6695	21.3446	17.0695	17.1064	15.3137	15.7533	16.9969	15.6231	18.591	17.0554	17.2399	20.1246	21.1169	17.7097	20.1894	16.0278	18.9312	14.8355	20.0288	14.1633	23.7047	19.46	19.1879	16.4891	17.738	20.1399	16.4883	19.1616	24.344	15.5523	21.6231	25.6015	17.0882	16.1595	19.3512	17.5878	10.2559	17.4865	19.7357	15.0141	18.5878	19.0401	15.5177	20.1528	20.2464	18.025	22.3378	17.0895	19.0723	16.2229	19.3692
EQTN	0.0692	0	0.2649	0.1765	0	0	0.0913	0.1453	0.0867	0.0939	0.0957	0.0665	0.0955	0.1446	0.0718	0.1445	0.074	0.0336	0	0.1618	0.1577	0.1157	0.1286	0.2218	0.2372	0	0.2224	0.2188	0.3641	0.1235	0.2232	0.049	0	0.0405	0.1085	0	0.1527	0	0.1237	0.1137	0.1884	0.1743	0.0911	0.0916	0.1505	0.096	0	0	0	0.0576	0	0.072	0	0.1639	0	0.1914	0.2034	0.0712
MOB3B	13.2436	12.3274	16.1449	11.023	11.1579	13.5045	16.5853	14.4472	12.4303	11.7453	13.4192	20.2577	18.9052	11.172	12.2873	16.2873	18.3371	19.6589	17.6968	23.6068	19.2715	20.0779	10.2112	9.6401	15.8963	21.0205	27.1399	15.6834	11.7853	13.9946	14.8577	17.9512	13.7544	20.0819	13.2369	11.3116	11.8825	14.284	12.9085	13.74	13.4971	12.2865	12.2689	11.1387	18.8798	26.601	16.5686	16.3903	6.1198	9.9366	10.5141	16.4429	13.946	12.2055	13.3582	14.3558	12.3429	15.2009
INSL6	0.2818	0.2022	0.5033	0.0718	0.495	0	0.223	0.3549	0.6354	0.2293	0.9352	0.0542	0.0518	0.2944	0	0.2353	0.1205	0.0822	0.2053	0	0	0.0471	0.2617	0.3871	0.4506	0.0731	0.317	0.6235	0.1186	0.9723	0.1212	0.2794	0.0508	0.1649	0.1767	0.0521	0.4351	0.1659	0.4031	0.0926	0.1023	0.3548	0.0742	0.1865	0.5515	0.5473	0.2618	0	0.1852	0.1407	0.2957	0.176	0.1606	0.3337	0.0451	0.5611	0.4141	0.203
INSL4	0	0	0.4471	0.0638	0.0489	0.0896	0	0	0	0	0	0	0	0	0	0	0	0	0.0608	0.0585	0	0.0837	0	0.1146	0.0572	0	0	0	0	0	0	0	0	0	0	0	0.0552	0.0368	0	0.0548	0	0.1261	0	0	0.0544	0	0	0	0	0.0417	0	0.0521	0.1427	0.1778	0	0	0	0
MLANA	0.7175	0.5071	1.4981	0.6237	1.2733	0.0584	1.0757	0.3423	0.6537	0.3096	0.4511	0.3764	0.105	0.5453	0.0677	0.5106	0.4183	0.4122	0.4752	0.7246	0.1932	0.2727	0.5756	0.687	0.3353	0.635	0.4455	0.8248	0.6521	0.6209	0.2805	0.4158	0.0588	0.2863	0.8009	0.3014	0.8633	0.12	0.2916	0.393	0.503	0.9035	0.6871	0.2591	0.6739	0.6335	0.4546	0.2849	0.1787	0.4071	0.5477	0.3735	0.4648	0.5021	0.5739	0.3969	0.671	0.3189
CD274	13.1777	9.4738	34.9022	19.8025	59.0616	14.8735	22.7518	10.8598	15.4654	17.1631	26.0215	27.9284	13.2226	24.3097	14.6089	29.2967	11.3143	22.8	16.2025	39.5247	21.8486	6.5025	33.938	20.8798	19.998	22.2611	11.3918	18.084	6.959	22.7272	14.6786	10.3093	5.9866	41.3078	10.6508	18.0008	10.9401	18.5065	54.6142	7.6993	38.9312	29.2918	25.0852	30.8796	25.0398	13.9932	17.3884	12.164	34.8956	107.4104	25.6122	15.0046	19.7302	28.4786	18.853	20.2499	24.6087	23.1632
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1303	0	0	0	0	0
GRIA2	0.0109	0.0261	0	0.0418	0.0213	0	0.0433	0.0115	0.0274	0	0	0.0105	0.0301	0.0114	0	0.0228	0.0117	0.0319	0.0133	0	0.005	0.1188	0	0.0701	0	0.0284	0.0088	1.071	0.0805	0.013	0.0352	1.0448	0	0	0	0	0.0241	0.0241	0	0.006	0.0297	0.0413	0	0.0072	0	0.0303	0	0.0087	0.0239	0	0.0115	0.0114	0.0467	0.0647	0.0437	0.0242	0.0321	0.0225
NUP43	22.6821	18.4564	23.2147	17.2491	16.5282	14.0016	24.5874	14.3162	17.8356	18.2903	14.7065	11.6711	9.0873	6.6765	11.0548	16.5449	10.2557	13.3247	14.7904	15.1747	9.5589	13.6763	16.8801	21.8658	18.4096	20.3166	18.1376	27.6398	17.542	18.9922	18.4673	19.2257	10.8887	16.1616	14.8428	13.6252	20.1407	9.845	16.9988	18.8399	11.3524	17.8154	17.8715	12.6742	15.4107	16.7476	20.5094	13.6577	15.5501	12.8051	18.0504	12.5417	20.543	19.4782	16.5321	18.4536	25.9255	16.7036
MTHFD1L	9.5297	7.9572	8.6924	12.6589	8.9112	10.0261	13.5479	9.981	12.8394	7.9122	16.7994	14.4663	9.14	12.0253	9.0368	15.1185	14.372	16.7416	19.4791	21.5863	12.0792	12.7769	13.0462	9.0293	12.1181	13.0181	14.1434	16.6731	23.1903	12.4446	17.4836	10.5264	8.7588	18.7097	7.3278	7.3657	14.4331	12.9409	11.5392	21.2055	12.8148	8.1254	11.7841	12.1811	14.8174	16.992	16.9409	13.7861	5.3847	21.5479	9.6657	13.1848	7.7448	12.9179	11.8562	14.2342	9.6299	12.545
LRP11	0.9243	1.7067	0.7862	0.7856	0.8705	0.5222	1.904	0.4255	1.6454	0.8577	0.8746	0.6705	0.3877	0.4236	0.471	0.7278	0.728	1.0877	1.1026	1.3463	0.6428	1.3149	0.4519	2.5097	0.6853	0.8419	0.6385	0.8458	2.8669	1.1384	0.5056	2.3312	0.7021	0.579	0.8303	0.6593	0.9479	0.6207	1.1019	0.5684	0.8533	1.5722	1.0461	0.6334	0.723	1.3499	0.8664	0.5666	0.533	0.9986	1.2933	0.979	0.7164	0.7297	1.1024	1.4083	0.9532	1.0516
CCDC170	2.4285	34.8552	5.2102	18.8517	7.5145	5.1333	26.5095	3.1152	57.1721	3.5133	4.926	7.8361	9.1147	1.0715	5.5614	4.3185	7.4798	25.7679	29.3555	8.7296	21.2851	32.8137	1.4036	90.2209	13.0688	4.2496	13.9201	11.6575	84.2233	10.67	5.183	64.3591	12.7222	2.0426	21.3918	37.9477	4.4642	2.7674	2.8629	6.0985	22.7997	39.0721	5.4947	1.691	5.5362	6.1149	6.9094	8.7563	4.8287	4.042	49.1599	3.4829	2.2048	17.3831	9.3805	17.762	14.2223	12.1473
PCMT1	50.4099	58.4776	59.3006	52.8749	54.4884	91.6086	65.2775	54.4289	62.2865	59.4326	47.5761	56.803	56.906	56.1033	57.667	55.534	57.2398	51.2026	55.971	60.9643	59.8799	49.613	51.1523	57.4308	54.3907	62.3877	45.2485	57.9178	55.5919	63.1839	50.597	59.7437	85.6568	52.2454	62.484	85.2844	44.5256	76.6998	63.2414	49.0951	55.9401	57.0873	57.2846	46.8715	53.5447	66.974	57.6069	48.9063	56.7425	56.8263	59.0958	60.842	48.1425	59.4929	63.2222	52.4491	54.4069	55.6028
PLEKHG1	9.7961	7.902	13.6861	4.7439	12.6186	12.0833	16.7814	11.2878	14.3888	20.9339	12.1829	20.5654	3.6095	12.8259	9.8183	16.6255	8.8579	26.0551	27.7538	21.1343	4.0265	14.6014	11.4626	9.0366	9.7697	16.6461	3.8596	28.732	18.0511	16.6711	6.3068	8.2013	4.3757	19.6515	8.8281	8.2536	9.9671	9.1531	21.2516	17.8633	24.2774	20.3788	11.1855	10.6955	10.4571	16.6078	16.2894	10.9522	6.8641	83.05	11.9444	16.0368	9.3077	12.2529	12.3901	10.0711	8.1605	15.7758
MYCT1	35.1837	22.2174	45.2621	14.5545	80.1058	78.2948	40.4618	25.6223	44.0359	40.5463	18.9108	22.142	26.9125	45.2253	47.1739	51.1645	34.9883	43.3892	55.2503	51.324	18.7046	28.2	22.5269	58.1376	26.7812	45.0831	13.4753	66.5194	24.7069	56.8486	16.0525	46.5216	33.3096	16.8371	27.7682	57.2432	23.369	51.2022	72.0839	36.6495	32.1256	40.038	58.2118	33.9239	46.2932	54.7672	48.2735	20.7425	28.3016	62.8284	45.5884	77.5448	44.0314	46.0577	64.7394	37.2479	37.2027	75.4062
CXorf21	10.4694	4.6958	20.3156	15.0855	17.0839	9.7069	15.2512	6.7532	11.0662	8.1352	18.4009	6.9739	13.1124	7.0657	6.5056	10.3586	14.4548	8.4284	6.6208	6.5676	16.273	5.9716	7.1924	9.4881	11.71	10.7584	16.0369	14.5656	6.1975	8.6617	12.7797	11.4304	7.9686	10.1812	9.6582	10.0266	17.3811	15.7738	10.6282	7.3466	2.7704	9.1317	12.3483	8.6636	13.1644	8.7004	16.6793	20.1342	15.2941	4.8556	5.0931	8.1167	12.4343	7.0386	9.202	16.5897	12.0199	12.0119
MAGEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0489	0	0	0	0	0	0	0	0	0
CYSTM1	158.7532	289.192	151.5993	158.7233	156.282	306.6207	175.9841	194.1785	228.6075	192.4076	153.4798	202.197	159.8742	220.4429	260.2851	161.6939	143.7634	180.5467	209.3061	153.5194	182.6385	202.3954	171.3664	246.6337	141.9733	184.6184	131.3308	145.8808	239.6651	203.9232	100.6959	195.3028	277.8263	162.4018	238.8041	241.94	144.3962	232.6238	188.0927	185.6813	210.1025	224.8069	171.1894	197.5481	150.7266	181.7166	200.5621	169.475	151.1617	216.3277	227.849	229.2824	132.5897	192.1139	202.9332	147.254	161.151	190.9074
WDR55	11.8403	9.7762	10.8351	10.6641	11.4819	6.6284	12.3625	9.2468	11.037	10.2743	8.4166	8.8149	7.4871	8.4083	6.8947	9.7806	9.6351	11.3929	9.909	10.198	9.6757	8.9405	11.365	10.4354	10.2239	11.6672	10.6295	13.201	9.9684	10.7406	11.4291	10.6302	4.4447	12.6608	9.4592	7.9761	10.1386	7.1222	10.5636	10.6476	7.8084	11.6545	12.0857	8.4537	9.9687	12.1179	11.4662	10.8276	7.644	10.2882	9.0323	9.1046	10.0161	11.5642	11.0685	9.7189	12.7975	11.3757
ARAP3	22.6975	15.3566	34.6559	11.2411	50.3106	10.9775	35.4598	16.0416	28.3355	37.5876	15.5319	18.3226	12.6408	27.7241	16.8711	41.5214	23.5366	34.0715	33.9752	31.5214	11.98	11.1423	38.3432	41.5299	22.5761	31.5502	14.766	48.8398	18.3754	47.5864	14.7191	26.3731	6.2749	14.8453	11.4224	12.9277	24.4081	18.019	32.8027	29.7605	20.9504	41.9063	60.2452	35.2731	35.7472	32.4331	29.9501	15.3932	8.1741	30.3489	26.6179	21.5251	20.5693	39.3755	52.4921	25.4687	34.7694	50.1631
PCDHB8	0.7817	0.765	0.544	0.8154	0.9364	0.9854	0.8438	1.4917	1.4689	1.5422	0.2457	0.9567	0.3268	0.7055	0.9216	2.0769	0.6077	1.2263	1.2512	1.3712	0.2752	0.7129	1.0562	1.2854	0.3247	0.5535	0.1428	2.1903	0.7105	1.966	0.9932	1.4595	0.5449	0.9567	0.8354	0.9521	0.5879	1.8047	0.826	1.0314	1.0638	1.2975	2.0116	1.1761	1.1979	1.5283	0.5228	0.3104	0.1947	1.5673	0.2983	0.5548	2.4814	0.3787	0.6536	0.6879	0.6788	1.7923
PCDHB10	1.7497	1.2769	3.1406	1.3989	4.3127	2.4406	3.0909	1.4006	2.3033	3.2177	0.9023	1.9106	1.459	3.099	2.4305	3.374	3.0748	3.4739	4.2849	5.9992	0.9593	1.661	2.0936	2.7838	1.7276	3.118	0.9294	4.4998	2.996	2.8053	1.1478	3.9273	1.8459	1.4407	1.5959	1.5893	1.7336	2.925	4.0833	2.9398	2.0448	3.8088	2.1084	2.5718	2.6123	4.6083	3.4447	1.201	1.2996	3.7266	1.8362	3.0252	2.3669	2.8446	2.9411	2.4935	2.3533	5.1896
PCDHB14	2.6918	2.0576	3.9768	2.09	3.2001	2.0278	4.1388	3.1013	2.9158	3.6509	2.5472	2.2771	1.2284	2.4534	1.9107	4.1617	2.9855	4.0039	3.6124	4.7333	0.8484	2.538	2.3124	3.2159	1.4103	5.0177	0.8782	4.7025	3.7061	3.3835	1.8713	4.8302	1.9901	2.4403	2.6648	1.7579	3.0359	3.4413	3.402	3.3143	3.4521	4.2559	3.1976	3.6042	3.3235	5.532	4.4355	1.6393	1.9514	3.6045	2.3364	2.6545	4.3556	2.8522	3.286	3.5154	3.5691	6.0835
PCDHB12	1.513	1.3572	2.9279	0.9002	3.2488	2.6392	1.4971	1.9585	1.769	2.5651	0.9068	2.1581	1.4609	2.5824	1.1249	3.6059	2.8032	2.672	2.2045	4.0987	0.6779	2.1292	1.9207	2.4248	1.8435	2.8477	0.9524	4.0655	2.0434	2.2654	1.8977	3.0002	1.7516	1.7416	1.805	1.165	1.3906	3.6751	2.6604	2.2512	1.876	2.1909	2.324	2.4874	2.8794	4.3384	3.0658	1.1213	1.1604	2.4134	1.9319	2.2837	2.4798	2.4786	2.4202	1.9808	2.2234	5.2564
SLC25A2	0.2072	0	0.4406	0.1761	0.0674	0	0.0911	0.0725	0.0865	0.0937	0.0955	0	0	0.1443	0	0.1442	0.0738	0.0671	0	0	0.0315	0.0577	0.1924	0.2213	0	0	0.0555	0.1092	0.1453	0.0822	0	0	0	0.1617	0.0361	0	0.3047	0.0508	0.247	0	0.1253	0	0.1818	0.0457	0.0751	0	0	0.0548	0	0.1149	0.1449	0.0719	0.0984	0	0.0552	0.0764	0.1015	0
TNN	0.6202	0.7418	1.5084	0.2224	0.5107	0.5374	1.0483	0.7526	0.4856	0.3154	0.9381	0.7641	0.3297	0.6076	0.3217	0.6271	1.4915	1.1022	0.8236	0.4532	0.2207	0.5022	0.4861	0.7454	0.1992	1.132	0.1557	0.8883	2.0599	0.9916	0.1458	1.0156	0.507	0.7373	0.3443	0.5014	0.5344	0.7703	0.5198	0.5095	0.6154	1.1713	0.8931	0.6543	0.4004	1.2907	1.0806	0.277	0.2336	0.5968	0.2441	0.3026	0.58	0.7803	1.9065	0.5146	0.655	0.6883
MRPS14	32.5841	28.4297	40.0849	26.7019	31.4719	45.7273	39.4601	27.6358	33.1748	34.3842	25.3715	23.328	29.7559	25.8623	32.241	33.8926	29.917	27.5566	34.6696	38.8511	23.8394	31.6487	34.1512	34.636	30.6802	31.0488	18.9488	36.3791	35.7574	37.6504	27.4171	34.5733	34.9665	20.8577	32.2387	43.0565	26.9645	42.1735	33.9494	29.193	23.0346	35.5263	33.3285	25.7107	35.5579	34.8608	32.8756	27.0407	33.0173	26.1139	32.2589	36.7804	37.6346	38.4534	41.245	30.6936	30.2806	35.2671
CENPL	2.5055	2.1643	2.3088	2.3323	2.2319	3.0773	2.4923	2.1288	2.1922	2.4543	1.9251	1.8357	2.1303	1.9948	2.5168	2.034	2.2743	2.31	2.2696	3.0693	1.8392	2.2109	2.3273	1.8393	2.1806	2.3746	2.3968	2.5144	2.3019	2.2832	2.373	2.3658	2.6189	2.7933	2.4312	2.8296	2.3248	3.1615	1.7779	1.6772	1.768	1.7276	2.6704	1.6718	2.4003	3.6694	2.4176	2.8422	4.0087	3.4421	2.1077	3.2083	2.6356	2.449	2.2265	2.0019	1.9579	2.1083
TNFSF18	0.584	0.0582	0.8693	0.1861	1.1399	1.6977	0.3852	0.1532	0.3048	0.462	0.673	0.6083	0.6489	2.39	0.2019	0.9651	0.3121	0.6386	0.7681	0.3983	0.5543	0.9764	0.3616	0.4679	0.3335	1.6423	0.0782	3.8458	3.4824	0.8685	0.0523	0.3791	0.7463	0.3703	0.7628	1.2141	0.8588	1.2537	0.6091	1.0394	0.4856	0.4902	0.8329	0.9665	1.0055	0.8777	3.5046	0.541	3.9987	1.6604	0.3575	1.1144	1.3871	0.922	0.467	1.0767	0.143	2.7551
SEC16B	0.106	0.0475	0.0676	0.0844	0.1164	0.0948	0.1223	0.0834	0.0498	0.0539	0	0.0382	0.0426	0.0415	0	0.0691	0.0283	0.0644	0.0965	0.0465	0.0724	0.0221	0.0246	0.1274	0.0757	0.1204	0.0532	0.0837	0.1394	0.1024	0.057	0.1313	0.0239	0.0233	0.1177	0.049	0.1169	0.039	0.1658	0.0508	0.1082	0.0667	0.157	0.0263	0.0576	0.0551	0.0615	0.0316	0.0435	0.0331	0.1112	0.0414	0.151	0.1255	0.0953	0.0806	0.1363	0.0614
